param_id,param_apsim,value,group_id,set_id,set_desc,set_desc2,do_manually
13,coldStage,4,rue,7,kill,"only wet kill, 3%",N
14,coldTT,4,rue,7,kill,"only wet kill, 3%",N
15,xSurfaceOMString,"0,2500,10000",rue,7,kill,"only wet kill, 3%",N
16,ySurfaceOMString,"1, 1, 1",rue,7,kill,"only wet kill, 3%",N
17,xMoistureString,"0,1,2",rue,7,kill,"only wet kill, 3%",N
18,yMoistureString,"1, 1, 1",rue,7,kill,"only wet kill, 3%",N
19,xTTString,"0,15,100",rue,7,kill,"only wet kill, 3%",N
20,yTTString,"1, 1, 1",rue,7,kill,"only wet kill, 3%",N
21,moistDaysBefore,14,xf,7,kill,"only wet kill, 3%",N
22,moistDaysAfter,1,xf,7,kill,"only wet kill, 3%",N
23,moistMaxLayers,2,xf,7,kill,"only wet kill, 3%",N
24,coldStage,4,xf,7,kill,"only wet kill, 3%",N
25,coldTT,4,xf,7,kill,"only wet kill, 3%",N
26,xSurfaceOMString,"0,2500,10000",xf,7,kill,"only wet kill, 3%",N
27,ySurfaceOMString,"1, 1, 1",xf,7,kill,"only wet kill, 3%",N
28,xMoistureString,"0,1,2",xf,7,kill,"only wet kill, 3%",N
29,yMoistureString,"1, 1, 1",xf,7,kill,"only wet kill, 3%",N
30,xTTString,"0,15,100",xf,7,kill,"only wet kill, 3%",N
31,yTTString,"1, 1, 1",xf,7,kill,"only wet kill, 3%",N
1,startStage,1,kill,8,kill,"only cold kill, 10%",N
2,endStage,3.5,kill,8,kill,"only cold kill, 10%",N
3,maxLayer,3,kill,8,kill,"only cold kill, 10%",N
4,moistLim,2,kill,8,kill,"only cold kill, 10%",N
5,tempLim,2,kill,8,kill,"only cold kill, 10%",N
6,xMoistString,"0, 0.5, 1, 1.5, 2",kill,8,kill,"only cold kill, 10%",N
7,yMoistString,"0, 0, 0, 0, 0",kill,8,kill,"only cold kill, 10%",N
8,xTempString,"-3.5, 0",kill,8,kill,"only cold kill, 10%",N
9,yTempString,"0.1, 0",kill,8,kill,"only cold kill, 10%",N
10,moistDaysBefore,14,rue,8,kill,"only cold kill, 10%",N
11,moistDaysAfter,1,rue,8,kill,"only cold kill, 10%",N
12,moistMaxLayers,2,rue,8,kill,"only cold kill, 10%",N
13,coldStage,4,rue,8,kill,"only cold kill, 10%",N
14,coldTT,4,rue,8,kill,"only cold kill, 10%",N
15,xSurfaceOMString,"0,2500,10000",rue,8,kill,"only cold kill, 10%",N
16,ySurfaceOMString,"1, 1, 1",rue,8,kill,"only cold kill, 10%",N
17,xMoistureString,"0,1,2",rue,8,kill,"only cold kill, 10%",N
18,yMoistureString,"1, 1, 1",rue,8,kill,"only cold kill, 10%",N
19,xTTString,"0,15,100",rue,8,kill,"only cold kill, 10%",N
20,yTTString,"1, 1, 1",rue,8,kill,"only cold kill, 10%",N
21,moistDaysBefore,14,xf,8,kill,"only cold kill, 10%",N
22,moistDaysAfter,1,xf,8,kill,"only cold kill, 10%",N
23,moistMaxLayers,2,xf,8,kill,"only cold kill, 10%",N
24,coldStage,4,xf,8,kill,"only cold kill, 10%",N
25,coldTT,4,xf,8,kill,"only cold kill, 10%",N
26,xSurfaceOMString,"0,2500,10000",xf,8,kill,"only cold kill, 10%",N
27,ySurfaceOMString,"1, 1, 1",xf,8,kill,"only cold kill, 10%",N
28,xMoistureString,"0,1,2",xf,8,kill,"only cold kill, 10%",N
29,yMoistureString,"1, 1, 1",xf,8,kill,"only cold kill, 10%",N
30,xTTString,"0,15,100",xf,8,kill,"only cold kill, 10%",N
31,yTTString,"1, 1, 1",xf,8,kill,"only cold kill, 10%",N
1,startStage,1,kill,9,kill,"only cold kill, 30%",N
2,endStage,3.5,kill,9,kill,"only cold kill, 30%",N
3,maxLayer,3,kill,9,kill,"only cold kill, 30%",N
4,moistLim,2,kill,9,kill,"only cold kill, 30%",N
5,tempLim,2,kill,9,kill,"only cold kill, 30%",N
6,xMoistString,"0, 0.5, 1, 1.5, 2",kill,9,kill,"only cold kill, 30%",N
7,yMoistString,"0, 0, 0, 0, 0",kill,9,kill,"only cold kill, 30%",N
8,xTempString,"-3.5, 0",kill,9,kill,"only cold kill, 30%",N
9,yTempString,"0.3, 0",kill,9,kill,"only cold kill, 30%",N
10,moistDaysBefore,14,rue,9,kill,"only cold kill, 30%",N
11,moistDaysAfter,1,rue,9,kill,"only cold kill, 30%",N
12,moistMaxLayers,2,rue,9,kill,"only cold kill, 30%",N
13,coldStage,4,rue,9,kill,"only cold kill, 30%",N
14,coldTT,4,rue,9,kill,"only cold kill, 30%",N
15,xSurfaceOMString,"0,2500,10000",rue,9,kill,"only cold kill, 30%",N
16,ySurfaceOMString,"1, 1, 1",rue,9,kill,"only cold kill, 30%",N
17,xMoistureString,"0,1,2",rue,9,kill,"only cold kill, 30%",N
18,yMoistureString,"1, 1, 1",rue,9,kill,"only cold kill, 30%",N
19,xTTString,"0,15,100",rue,9,kill,"only cold kill, 30%",N
20,yTTString,"1, 1, 1",rue,9,kill,"only cold kill, 30%",N
21,moistDaysBefore,14,xf,9,kill,"only cold kill, 30%",N
22,moistDaysAfter,1,xf,9,kill,"only cold kill, 30%",N
23,moistMaxLayers,2,xf,9,kill,"only cold kill, 30%",N
24,coldStage,4,xf,9,kill,"only cold kill, 30%",N
25,coldTT,4,xf,9,kill,"only cold kill, 30%",N
26,xSurfaceOMString,"0,2500,10000",xf,9,kill,"only cold kill, 30%",N
27,ySurfaceOMString,"1, 1, 1",xf,9,kill,"only cold kill, 30%",N
28,xMoistureString,"0,1,2",xf,9,kill,"only cold kill, 30%",N
29,yMoistureString,"1, 1, 1",xf,9,kill,"only cold kill, 30%",N
30,xTTString,"0,15,100",xf,9,kill,"only cold kill, 30%",N
31,yTTString,"1, 1, 1",xf,9,kill,"only cold kill, 30%",N
1,startStage,1,kill,10,kill,"only dry kill, 1%",N
2,endStage,3.5,kill,10,kill,"only dry kill, 1%",N
3,maxLayer,3,kill,10,kill,"only dry kill, 1%",N
4,moistLim,2,kill,10,kill,"only dry kill, 1%",N
5,tempLim,2,kill,10,kill,"only dry kill, 1%",N
