wndbrkht.l,wndbrkht.r,wndbrkht.h,plantsym,plantsciname,plantcomname,cokey,copwindbreakkey
NA,3,NA,VIDE,Viburnum dentatum,southern arrowwood,17587844,94940129
NA,8,NA,ACSA3,Acer saccharum,sugar maple,17587844,94940130
NA,6,NA,QUAL,Quercus alba,white oak,17587844,94940131
NA,2,NA,RHAR4,Rhus aromatica,fragrant sumac,17587844,94940132
NA,3,NA,AMELA,Amelanchier,serviceberry,17587844,94940133
NA,15,NA,PODE3,Populus deltoides,eastern cottonwood,17587844,94940134
NA,5,NA,CRPH,Crataegus phaenopyrum,Washington hawthorn,17587844,94940135
NA,6,NA,QUMA2,Quercus macrocarpa,bur oak,17587844,94940136
NA,3,NA,VILE,Viburnum lentago,nannyberry,17587844,94940137
NA,6,NA,PIGLD,Picea glauca var. densata,Black Hills spruce,17587844,94940138
NA,8,NA,FRNI,Fraxinus nigra,black ash,17587844,94940139
NA,4,NA,SYVU,Syringa vulgaris,common lilac,17587844,94940140
NA,4,NA,COSES,Cornus sericea ssp. sericea,redosier dogwood,17587844,94940141
NA,6,NA,THOC2,Thuja occidentalis,arborvitae,17587844,94940142
NA,4,NA,PRAM,Prunus americana,American plum,17587844,94940143
NA,10,NA,QUVE,Quercus velutina,black oak,17587844,94940144
NA,8,NA,CAOV2,Carya ovata,shagbark hickory,17587844,94940145
NA,6,NA,MALUS,Malus,Midwest Crabapple,17587844,94940146
NA,11,NA,QUBI,Quercus bicolor,swamp white oak,17587844,94940147
NA,10,NA,TIAM,Tilia americana,American basswood,17587844,94940148
NA,3,NA,COCO6,Corylus cornuta,beaked hazelnut,17587844,94940149
NA,8,NA,FRPE,Fraxinus pennsylvanica,green ash,17587844,94940150
NA,6,NA,PRSE2,Prunus serotina,black cherry,17587844,94940151
NA,1,NA,VIAC,Viburnum acerifolium,mapleleaf viburnum,17587844,94940152
NA,6,NA,MALUS,Malus,Red Splendor Crabapple,17587844,94940153
NA,3,NA,PHYSO,Physocarpus,ninebark,17587844,94940154
NA,9,NA,PIAB,Picea abies,Norway spruce,17587844,94940155
NA,6,NA,PIGL,Picea glauca,white spruce,17587844,94940156
NA,3,NA,VIRA,Viburnum rafinesqueanum,Downy Arrowwood,17587844,94940157
NA,6,NA,UNKNOWN,unknown scientific name,radiant crabapple,17587844,94940158
NA,1,NA,VIAC,Viburnum acerifolium,mapleleaf viburnum,17587845,94940159
NA,3,NA,VIRA,Viburnum rafinesqueanum,Downy Arrowwood,17587845,94940160
NA,6,NA,UNKNOWN,unknown scientific name,radiant crabapple,17587845,94940161
NA,3,NA,SAEX,Salix exigua,sandbar willow,17587845,94940162
NA,8,NA,FRPE,Fraxinus pennsylvanica,green ash,17587845,94940163
NA,6,NA,PIGL,Picea glauca,white spruce,17587845,94940164
NA,8,NA,PIAB,Picea abies,Norway spruce,17587845,94940165
NA,4,NA,PHYSO,Physocarpus,ninebark,17587845,94940166
NA,6,NA,MALUS,Malus,Red Splendor Crabapple,17587845,94940167
NA,2,NA,VIOPA2,Viburnum opulus var. americanum,American cranberry viburnum,17587845,94940168
NA,5,NA,COCO6,Corylus cornuta,beaked hazelnut,17587845,94940169
NA,6,NA,THOC2,Thuja occidentalis,arborvitae,17587845,94940170
NA,4,NA,COSES,Cornus sericea ssp. sericea,redosier dogwood,17587845,94940171
NA,3,NA,SYVU,Syringa vulgaris,common lilac,17587845,94940172
NA,4,NA,PRAM,Prunus americana,American plum,17587845,94940173
NA,6,NA,CRPH,Crataegus phaenopyrum,Washington hawthorn,17587845,94940174
NA,2,NA,COAC2,Cotoneaster acutifolius,Peking cotoneaster,17587845,94940175
NA,8,NA,QUMA2,Quercus macrocarpa,bur oak,17587845,94940176
NA,8,NA,QUBI,Quercus bicolor,swamp white oak,17587845,94940177
NA,6,NA,MALUS,Malus,Midwest Crabapple,17587845,94940178
NA,8,NA,FRNI,Fraxinus nigra,black ash,17587845,94940179
NA,8,NA,QUPA2,Quercus palustris,pin oak,17587845,94940180
NA,2,NA,VILE,Viburnum lentago,nannyberry,17587845,94940181
NA,4,NA,CAAR18,Caragana arborescens,Siberian peashrub,17587845,94940182
NA,3,NA,VIED,Viburnum edule,highbush cranberrry,17587845,94940183
NA,11,NA,PIST,Pinus strobus,eastern white pine,17587845,94940184
NA,3,NA,AMELA,Amelanchier,serviceberry,17587845,94940185
NA,15,NA,PODE3,Populus deltoides,eastern cottonwood,17587845,94940186
NA,2,NA,COAM3,Corylus americana,American hazelnut,17587845,94940187
NA,8,NA,BENI,Betula nigra,river birch,17587845,94940188
NA,6,NA,ABCO,Abies concolor,white fir,17587845,94940189
NA,3,NA,VIDE,Viburnum dentatum,southern arrowwood,17587845,94940190
NA,4,NA,SAMBU,Sambucus,elderberry,17587845,94940191
NA,6,NA,MASA9,Malus sargentii,sargent crabapple,17587845,94940192
NA,5,NA,CECA4,Cercis canadensis,eastern redbud,17587845,94940193
NA,8,NA,GLTR,Gleditsia triacanthos,honeylocust,17587845,94940194
NA,8,NA,CEOC,Celtis occidentalis,common hackberry,17587845,94940195
NA,11,NA,SALIX,Salix,willow,17587845,94940196
NA,2,NA,COAM2,Cornus amomum,silky dogwood,17587845,94940197
NA,6,NA,JUVI,Juniperus virginiana,eastern redcedar,17587845,94940198
NA,11,NA,ACSA2,Acer saccharinum,silver maple,17587845,94940199
NA,3,NA,PRTO80,Prunus tomentosa,Nanking cherry,17587845,94940200
NA,3,NA,PRVI,Prunus virginiana,chokecherry,17587845,94940201
NA,8,NA,FRAM2,Fraxinus americana,white ash,17587845,94940202
NA,11,NA,PLOC,Platanus occidentalis,American sycamore,17587845,94940203
NA,6,NA,MAMA37,Malus mandshurica,Manchurian crabapple,17587845,94940204
NA,2,NA,CEPHA,Cephalanthus,buttonbush,17587845,94940205
NA,2,NA,COFOR,Cornus foemina ssp. racemosa,gray dogwood,17587845,94940206
NA,6,NA,ACGI,Acer ginnala,Amur maple,17587845,94940207
NA,3,NA,PRVI,Prunus virginiana,chokecherry,17587846,94940208
NA,6,NA,MAMA37,Malus mandshurica,Manchurian crabapple,17587846,94940209
NA,8,NA,CARYA,Carya,hickory,17587846,94940210
NA,8,NA,QURU,Quercus rubra,northern red oak,17587846,94940211
NA,3,NA,PRTO80,Prunus tomentosa,Nanking cherry,17587846,94940212
NA,8,NA,FRAM2,Fraxinus americana,white ash,17587846,94940213
NA,2,NA,CEPHA,Cephalanthus,buttonbush,17587846,94940214
NA,2,NA,COFOR,Cornus foemina ssp. racemosa,gray dogwood,17587846,94940215
NA,6,NA,JUVI,Juniperus virginiana,eastern redcedar,17587846,94940216
NA,5,NA,PIBA2,Pinus banksiana,jack pine,17587846,94940217
NA,8,NA,QUMU,Quercus muehlenbergii,chinkapin oak,17587846,94940218
NA,6,NA,MASA9,Malus sargentii,sargent crabapple,17587846,94940219
NA,3,NA,VIDE,Viburnum dentatum,southern arrowwood,17587846,94940220
NA,6,NA,ABCO,Abies concolor,white fir,17587846,94940221
NA,12,NA,PIST,Pinus strobus,eastern white pine,17587846,94940222
NA,3,NA,SAMBU,Sambucus,elderberry,17587846,94940223
NA,8,NA,CEOC,Celtis occidentalis,common hackberry,17587846,94940224
NA,3,NA,AMELA,Amelanchier,serviceberry,17587846,94940225
NA,8,NA,PIRE,Pinus resinosa,red pine,17587846,94940226
NA,3,NA,VIED,Viburnum edule,highbush cranberrry,17587846,94940227
NA,8,NA,QUAL,Quercus alba,white oak,17587846,94940228
NA,3,NA,SYVU,Syringa vulgaris,common lilac,17587846,94940229
NA,4,NA,PRAM,Prunus americana,American plum,17587846,94940230
NA,6,NA,QUMA2,Quercus macrocarpa,bur oak,17587846,94940231
NA,8,NA,QUVE,Quercus velutina,black oak,17587846,94940232
NA,5,NA,CRPH,Crataegus phaenopyrum,Washington hawthorn,17587846,94940233
NA,6,NA,MALUS,Malus,Midwest Crabapple,17587846,94940234
NA,6,NA,PIGLD,Picea glauca var. densata,Black Hills spruce,17587846,94940235
NA,3,NA,VILE,Viburnum lentago,nannyberry,17587846,94940236
NA,8,NA,FRPE,Fraxinus pennsylvanica,green ash,17587846,94940237
NA,3,NA,SAEX,Salix exigua,sandbar willow,17587846,94940238
NA,3,NA,PHYSO,Physocarpus,ninebark,17587846,94940239
NA,3,NA,VIRA,Viburnum rafinesqueanum,Downy Arrowwood,17587846,94940240
NA,8,NA,TIAM,Tilia americana,American basswood,17587846,94940241
NA,5,NA,PIGL,Picea glauca,white spruce,17587846,94940242
NA,1,NA,VIAC,Viburnum acerifolium,mapleleaf viburnum,17587846,94940243
NA,9,NA,PIAB,Picea abies,Norway spruce,17587846,94940244
NA,3,NA,COCO6,Corylus cornuta,beaked hazelnut,17587846,94940245
NA,5,NA,PRSE2,Prunus serotina,black cherry,17587846,94940246
NA,6,NA,UNKNOWN,unknown scientific name,radiant crabapple,17587846,94940247
NA,6,NA,MALUS,Malus,Red Splendor Crabapple,17587846,94940248
