ApsimVersion = 7.9 r4044
Title = suth-2000
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai           Rain    dlt_n_min() final_soil_temp(1) final_soil_temp(2) final_soil_temp(3) final_soil_temp(4) final_soil_temp(5) final_soil_temp(6) final_soil_temp(7) final_soil_temp(8) final_soil_temp(9) final_soil_temp(10) final_soil_temp(11) final_soil_temp(12) final_soil_temp(13) final_soil_temp(14) final_soil_temp(15) final_soil_temp(16) final_soil_temp(17) final_soil_temp(18) final_soil_temp(19) final_soil_temp(20)
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)           (mm)        (kg/ha)               (oC)               (oC)               (oC)               (oC)               (oC)               (oC)               (oC)               (oC)               (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)
     27/03/2000           2000            0.0            0.0       1134.652           72.1         1646.6          0.000          0.000            0.1              1.847              3.537              5.254              6.442              6.226              5.702              5.259              4.889              4.601               4.433               4.384               4.494               4.864               5.357               5.909               6.493               7.099               7.718               8.339               8.943
     28/03/2000           2000            0.0            0.0       1160.380           72.1         1645.4          0.000          0.000            0.1              0.304              2.050              3.854              5.229              5.289              5.124              5.052              4.913              4.732               4.593               4.536               4.605               4.922               5.385               5.923               6.501               7.102               7.716               8.330               8.926
     29/03/2000           2000            0.0            0.0       1172.908           72.1         1643.0          0.000          0.000            0.1              1.927              3.505              5.042              5.881              5.402              4.925              4.835              4.814              4.751               4.683               4.651               4.711               4.987               5.419               5.940               6.509               7.105               7.714               8.321               8.910
     30/03/2000           2000            0.0            0.0       1249.554           72.2         1639.6          0.000          0.000            0.1              5.009              6.256              7.357              7.507              6.380              5.374              4.951              4.825              4.766               4.732               4.728               4.798               5.054               5.459               5.961               6.520               7.109               7.711               8.312               8.894
     31/03/2000           2000            0.0            0.0       1260.412           72.2         1639.1          0.000          0.000            0.1              4.144              5.312              6.431              6.955              6.382              5.690              5.248              5.006              4.867               4.804               4.795               4.871               5.116               5.501               5.985               6.532               7.113               7.708               8.302               8.878
     01/04/2000           2000            0.0            0.0       1267.578           72.3         1639.1          0.000          0.000            0.1              6.203              7.037              7.756              7.772              6.863              5.980              5.453              5.172              4.999               4.907               4.879               4.942               5.175               5.543               6.012               6.546               7.118               7.706               8.293               8.862
     02/04/2000           2000            0.0            0.0       1273.296           72.4         1639.1          0.000          0.254            0.1              5.165              6.259              7.287              7.686              7.010              6.227              5.694              5.367              5.149               5.024               4.975               5.018               5.234               5.586               6.040               6.561               7.123               7.704               8.284               8.847
     03/04/2000           2000            0.0            0.0       1278.885           72.5         1639.1          0.000          0.000            0.1              0.419              1.994              3.687              5.217              5.639              5.698              5.643              5.474              5.286               5.149               5.081               5.100               5.294               5.630               6.069               6.578               7.130               7.702               8.275               8.831
     04/04/2000           2000            0.0            0.0       1285.278           72.5         1639.1          0.000          0.000            0.0             -1.206              0.838              2.962              4.646              4.876              4.941              5.194              5.310              5.289               5.223               5.175               5.184               5.357               5.675               6.099               6.596               7.137               7.701               8.267               8.816
     05/04/2000           2000            0.0            0.0       1292.705           72.6         1639.1          0.000          0.000            0.2              8.897              9.911             10.588              9.750              7.538              5.839              5.242              5.186              5.211               5.220               5.222               5.255               5.419               5.721               6.130               6.614               7.145               7.700               8.258               8.801
     06/04/2000           2000            0.0            0.0       1300.260           72.7         1639.1          0.000          1.778            0.1              2.951              4.550              6.173              7.278              6.995              6.356              5.824              5.498              5.328               5.263               5.256               5.307               5.476               5.767               6.162               6.634               7.154               7.700               8.251               8.786
     07/04/2000           2000            0.0            0.0       1306.661           72.8         1639.1          0.000          1.778            0.0             -0.968              0.209              1.611              3.359              4.540              5.290              5.610              5.585              5.465               5.370               5.330               5.362               5.527               5.811               6.195               6.654               7.164               7.701               8.243               8.772
     08/04/2000           2000            0.0            0.0       1312.532           72.8         1639.1          0.000          0.254            0.0             -1.060              0.907              2.916              4.387              4.452              4.523              4.955              5.265              5.383               5.399               5.393               5.424               5.579               5.854               6.227               6.675               7.174               7.702               8.236               8.757
     09/04/2000           2000            0.0            0.0       1319.090           72.8         1639.1          0.000          0.000            0.1              2.639              3.662              4.644              5.136              4.804              4.599              4.792              5.049              5.232               5.337               5.397               5.468               5.629               5.896               6.259               6.696               7.185               7.703               8.230               8.743
     10/04/2000           2000            0.0            0.0       1325.912           72.8         1639.1          0.000          0.000            0.1              3.943              4.677              5.363              5.628              5.234              4.906              4.892              5.018              5.160               5.279               5.372               5.488               5.670               5.936               6.290               6.718               7.197               7.706               8.223               8.729
     11/04/2000           2000            0.0            0.0       1333.053           72.8         1639.1          0.000          0.000            0.1              2.863              3.657              4.471              5.064              5.046              4.956              4.988              5.068              5.164               5.263               5.357               5.496               5.701               5.972               6.321               6.739               7.208               7.708               8.217               8.716
     12/04/2000           2000            0.0            0.0       1340.434           72.9         1639.1          0.000          0.000            0.1              4.192              5.121              5.977              6.250              5.657              5.145              5.029              5.086              5.175               5.267               5.358               5.504               5.726               6.003               6.349               6.760               7.220               7.711               8.212               8.702
     13/04/2000           2000            0.0            0.0       1348.506           73.1         1639.1          0.000          0.000            0.2             10.442             10.978             11.203             10.151              8.066              6.343              5.498              5.260              5.237               5.290               5.369               5.516               5.748               6.031               6.375               6.780               7.232               7.714               8.206               8.689
     14/04/2000           2000            0.0            0.0       1357.517           73.4         1639.1          0.000          0.000            0.4              8.630             10.264             11.659             11.616              9.650              7.640              6.364              5.757              5.485               5.403               5.419               5.539               5.770               6.056               6.400               6.799               7.244               7.717               8.201               8.676
     15/04/2000           2000            0.0            0.0       1365.840           73.5         1639.1          0.000          2.032            0.1              1.386              2.213              3.303              4.971              6.285              6.882              6.704              6.235              5.842               5.622               5.541               5.590               5.797               6.080               6.422               6.817               7.255               7.720               8.196               8.663
     16/04/2000           2000            0.0            0.0       1368.400           73.6         1638.6          0.000          5.588            0.0              1.776              2.245              2.861              3.826              4.744              5.523              5.994              6.065              5.942               5.790               5.690               5.675               5.837               6.106               6.444               6.834               7.265               7.723               8.191               8.650
     17/04/2000           2000            0.0            0.0       1368.027           73.6         1632.5          0.000          0.000            0.1              3.113              3.815              4.522              5.010              5.028              5.153              5.488              5.726              5.811               5.802               5.769               5.759               5.888               6.138               6.467               6.851               7.276               7.726               8.186               8.638
     18/04/2000           2000            0.0            0.0       1368.923           73.7         1593.0          0.000          0.000            0.2              7.862              8.921              9.719              9.239              7.465              6.067              5.600              5.610              5.693               5.749               5.778               5.814               5.939               6.173               6.491               6.868               7.286               7.729               8.182               8.626
     19/04/2000           2000            0.0            0.0       1370.414           73.9         1541.8          0.000          2.286            0.3             11.322             11.610             11.652             10.720              8.999              7.421              6.407              5.962              5.799               5.766               5.783               5.844               5.982               6.209               6.516               6.885               7.295               7.732               8.177               8.614
     20/04/2000           2000            0.0            0.0       1372.015           74.0         1537.3          0.000          0.000            0.2              3.494              4.642              5.907              7.126              7.466              7.301              6.848              6.395              6.078               5.912               5.853               5.881               6.019               6.242               6.542               6.902               7.305               7.734               8.172               8.602
     21/04/2000           2000            0.0            0.0       1375.274           74.2         1523.1          0.000          0.000            0.2              5.092              6.680              8.171              8.762              7.895              7.050              6.667              6.441              6.230               6.065               5.969               5.945               6.059               6.275               6.568               6.920               7.316               7.737               8.168               8.590
     22/04/2000           2000            0.0            0.0       1380.813           74.4         1496.5          0.000          0.000            0.3             10.274             11.449             12.341             11.830              9.799              7.989              7.013              6.581              6.329               6.166               6.068               6.021               6.107               6.309               6.593               6.938               7.326               7.740               8.163               8.579
     23/04/2000           2000            0.0            0.0       1388.477           74.7         1485.4          0.000          0.000            0.5             11.798             12.723             13.405             12.889             11.016              9.128              7.790              7.030              6.577               6.316               6.174               6.099               6.160               6.346               6.620               6.956               7.336               7.743               8.159               8.568
     24/04/2000           2000            0.0            0.0       1397.563           75.1         1114.0          0.000          0.000            0.4              8.336              9.756             11.097             11.637             10.705              9.444              8.334              7.518              6.932               6.552               6.330               6.193               6.219               6.386               6.647               6.975               7.347               7.746               8.155               8.557
     25/04/2000           2000            0.0            0.0       1407.706           75.4         1114.0          0.000          0.000            0.3              9.007             10.296             11.468             11.770             10.705              9.482              8.525              7.807              7.229               6.804               6.524               6.314               6.287               6.429               6.676               6.994               7.358               7.749               8.151               8.546
     26/04/2000           2000            0.0            0.0       1418.859           75.8         1114.0          0.000          0.254            0.4              9.654             10.831             11.880             12.059             10.939              9.689              8.730              8.029              7.459               7.022               6.715               6.451               6.368               6.479               6.708               7.014               7.369               7.753               8.147               8.535
     27/04/2000           2000            0.0            0.0       1428.458           76.2         1078.6          0.000          5.588            0.4             10.973             11.408             11.750             11.590             10.786              9.848              8.970              8.260              7.676               7.223               6.895               6.592               6.458               6.534               6.743               7.036               7.381               7.756               8.144               8.525
     28/04/2000           2000            0.0            0.0       1437.311           76.5         1054.5          0.000          0.000            0.4              9.296             10.369             11.363             11.681             10.874              9.892              9.076              8.426              7.865               7.411               7.069               6.733               6.555               6.596               6.782               7.059               7.394               7.761               8.140               8.514
     29/04/2000           2000            0.0            0.0       1446.910           76.8         1039.9          0.000          0.000            0.3              8.064              9.500             10.870             11.503             10.770              9.840              9.121              8.541              8.016               7.574               7.229               6.871               6.655               6.662               6.824               7.085               7.408               7.765               8.137               8.504
     30/04/2000           2000            0.0            0.0       1457.492           77.2         1017.5          0.000          0.000            0.5             12.700             13.508             14.090             13.586             11.927             10.362              9.325              8.667              8.143               7.713               7.372               7.003               6.756               6.733               6.869               7.113               7.423               7.771               8.135               8.494
     01/05/2000           2000            0.0            0.0       1469.194           77.6         1009.9          0.000          0.000            0.5             12.298             13.405             14.329             14.207             12.695             11.059              9.811              8.974              8.347               7.871               7.511               7.128               6.856               6.805               6.918               7.143               7.439               7.777               8.132               8.485
     02/05/2000           2000            0.0            0.0       1482.016           78.1         1009.9          0.000          0.000            0.5             11.140             12.629             13.968             14.269             12.948             11.409             10.190              9.309              8.611               8.074               7.673               7.257               6.956               6.879               6.969               7.175               7.458               7.784               8.131               8.475
     03/05/2000           2000            0.0            0.0       1496.395           78.7         1009.9          0.000          0.000            0.6             14.474             15.446             16.171             15.701             13.857             11.984             10.582              9.622              8.873               8.293               7.854               7.395               7.059               6.955               7.022               7.210               7.477               7.793               8.130               8.466
     04/05/2000           2000            0.0            0.0       1511.691           79.4         1009.9          0.000          0.000            0.6             16.362             17.194             17.744             17.034             14.967             12.841             11.175             10.037              9.180               8.533               8.049               7.544               7.167               7.033               7.077               7.246               7.498               7.802               8.129               8.457
     05/05/2000           2000            0.0            0.0       1527.051           80.2         1009.9          0.000          0.000            0.7             18.339             18.957             19.265             18.290             16.059             13.758             11.873             10.552              9.559               8.818               8.271               7.706               7.281               7.115               7.134               7.284               7.521               7.812               8.129               8.448
     06/05/2000           2000            0.0            0.0       1541.576           81.0         1009.9          0.000          0.000            0.8             18.271             18.898             19.264             18.520             16.586             14.453             12.545             11.110              9.993               9.150               8.527               7.887               7.404               7.201               7.194               7.323               7.545               7.823               8.130               8.440
     07/05/2000           2000            0.0            0.0       1557.496           82.0          929.0          0.000          8.890            1.1             18.440             19.281             19.875             19.264             17.245             15.018             13.079             11.608             10.426               9.507               8.813               8.090               7.537               7.292               7.257               7.365               7.571               7.836               8.131               8.431
     08/05/2000           2000            0.0            0.0       1572.338           82.7          896.2          0.000          1.016            0.8             12.632             13.440             14.317             15.103             15.108             14.473             13.290             12.007             10.828               9.862               9.112               8.311               7.684               7.391               7.324               7.410               7.598               7.849               8.133               8.423
     09/05/2000           2000            0.0            0.0       1585.429           83.2          870.8          0.000          0.000            0.6             11.654             12.616             13.586             14.239             14.037             13.532             12.834             11.968             11.021              10.136               9.391               8.540               7.842               7.497               7.395               7.457               7.626               7.864               8.136               8.416
     10/05/2000           2000            0.0            0.0       1596.902           83.7          841.2          0.000          0.762            0.6             12.432             13.569             14.621             14.970             14.167             13.244             12.506             11.802             11.036              10.278               9.595               8.752               8.004               7.611               7.472               7.507               7.657               7.879               8.139               8.408
     11/05/2000           2000            0.0            0.0       1607.152           84.3          805.3          0.000          0.254            0.8             16.629             17.503             18.122             17.532             15.653             13.858             12.630             11.793             11.050              10.359               9.733               8.928               8.162               7.728               7.553               7.560               7.690               7.896               8.143               8.401
     12/05/2000           2000            0.0            0.0       1616.523           84.8          796.0          0.000          0.000            0.7             10.036             11.648             13.303             14.536             14.380             13.694             12.838             11.986             11.182              10.471               9.855               9.076               8.308               7.845               7.637               7.617               7.725               7.915               8.148               8.394
     13/05/2000           2000            0.0            0.0       1625.205           85.2          793.6          0.000          0.000            0.4              7.352              8.672             10.131             11.627             12.282             12.508             12.368             11.885             11.239              10.582               9.983               9.213               8.444               7.960               7.723               7.676               7.762               7.935               8.154               8.388
     14/05/2000           2000            0.0            0.0       1633.357           85.6          793.6          0.000          0.000            0.4              9.724             10.979             12.179             12.807             12.386             11.959             11.781             11.529             11.106              10.590              10.066               9.336               8.571               8.071               7.809               7.737               7.802               7.956               8.161               8.382
     15/05/2000           2000            0.0            0.0       1641.790           86.0          760.6          0.000          6.604            0.5             12.052             12.828             13.515             13.606             12.863             12.132             11.684             11.346             10.963              10.533              10.086               9.426               8.686               8.178               7.895               7.799               7.843               7.979               8.168               8.376
     16/05/2000           2000            0.0            0.0       1650.711           86.4          728.4          0.000          0.254            0.6             13.482             14.280             14.936             14.809             13.695             12.584             11.840             11.352             10.919              10.500              10.089               9.488               8.785               8.278               7.979               7.863               7.885               8.003               8.177               8.370
     17/05/2000           2000            0.0            0.0       1658.582           86.9          686.9          0.000         14.732            0.6             15.268             15.492             15.584             15.114             14.109             13.057             12.170             11.520             10.986              10.525              10.111               9.538               8.870               8.370               8.061               7.926               7.929               8.028               8.186               8.365
     18/05/2000           2000            0.0            0.0       1658.932           87.2          672.6          0.000          2.032            0.5              9.463             10.420             11.473             12.486             12.772             12.639             12.209             11.659             11.103              10.604              10.168               9.593               8.945               8.454               8.138               7.988               7.972               8.055               8.196               8.360
     19/05/2000           2000            0.0            0.0       1651.800           87.5          661.4          0.000          0.000            0.4              8.340              9.674             11.045             12.073             12.084             11.916             11.780             11.504             11.099              10.657              10.233               9.659               9.019               8.533               8.212               8.048               8.016               8.081               8.207               8.356
     20/05/2000           2000            0.0            0.0       1644.206           87.8          642.1          0.000          2.286            0.5             11.335             12.664             13.856             14.107             13.030             12.042             11.584             11.312             10.998              10.636              10.263               9.718               9.090               8.607               8.282               8.107               8.060               8.109               8.218               8.352
     21/05/2000           2000            0.0            0.0       1640.250           88.2          626.2          0.000          0.000            0.7             15.041             15.795             16.337             15.865             14.310             12.848             11.919             11.389             10.982              10.616              10.268               9.761               9.155               8.678               8.350               8.165               8.103               8.136               8.229               8.349
     22/05/2000           2000            0.0            0.0       1639.831           88.8          619.1          0.000          0.508            1.0             17.823             18.638             19.155             18.329             16.136             14.016             12.561             11.713             11.126              10.676              10.299               9.799               9.213               8.745               8.414               8.220               8.146               8.163               8.241               8.346
     23/05/2000           2000            0.0            0.0       1642.426           89.6          619.1          0.000          0.000            0.9             17.253             18.039             18.628             18.238             16.637             14.836             13.300             12.222             11.427              10.841              10.390               9.853               9.269               8.807               8.475               8.274               8.187               8.190               8.253               8.343
     24/05/2000           2000            0.0            0.0       1647.635           90.2          619.1          0.000          0.000            0.8             13.960             15.158             16.289             16.767             15.985             14.819             13.634             12.618             11.757              11.074              10.544               9.939               9.332               8.868               8.534               8.325               8.227               8.217               8.265               8.341
     25/05/2000           2000            0.0            0.0       1655.298           90.8          619.1          0.000          0.000            0.6             12.403             13.809             15.157             15.872             15.295             14.420             13.570             12.758             11.974              11.286              10.719              10.054               9.406               8.930               8.591               8.375               8.267               8.243               8.278               8.339
     26/05/2000           2000            0.0            0.0       1663.796           91.4          590.3          0.000         19.558            0.7             13.805             14.412             14.982             15.179             14.722             14.100             13.441             12.766             12.073              11.431              10.870              10.178               9.491               8.996               8.648               8.424               8.305               8.269               8.290               8.337
     27/05/2000           2000            0.0            0.0       1666.874           91.8          570.7          0.000          1.778            0.6             12.411             12.874             13.371             13.804             13.848             13.658             13.252             12.712             12.108              11.519              10.984              10.293               9.582               9.066               8.706               8.472               8.343               8.295               8.302               8.336
     28/05/2000           2000            0.0            0.0       1660.954           92.1          550.9          0.000          0.000            0.6             12.616             13.290             13.929             14.196             13.818             13.364             12.979             12.563             12.071              11.556              11.063              10.393               9.672               9.140               8.765               8.520               8.380               8.320               8.314               8.335
     29/05/2000           2000            0.0            0.0       1654.069           92.6          527.3          0.000          0.254            0.8             15.191             15.976             16.584             16.294             14.990             13.768             12.999             12.495             12.025              11.558              11.107              10.472               9.757               9.213               8.825               8.568               8.416               8.344               8.326               8.335
     30/05/2000           2000            0.0            0.0       1649.068           93.3          503.2          0.000          2.286            1.0             18.319             18.723             18.889             18.061             16.334             14.669             13.458             12.686             12.092              11.591              11.144              10.534               9.833               9.284               8.886               8.617               8.453               8.369               8.338               8.335
     31/05/2000           2000            0.0            0.0       1644.658           93.9          474.6          0.000          5.334            0.9             15.921             16.227             16.482             16.418             15.829             14.942             13.913             13.029             12.297              11.707              11.218              10.597               9.903               9.353               8.945               8.665               8.490               8.393               8.351               8.335
     01/06/2000           2000            0.0            0.0       1640.490           94.4          452.4          0.000          0.000            0.8             13.975             14.904             15.784             16.144             15.543             14.716             13.911             13.171             12.472              11.856              11.332              10.677               9.972               9.419               9.004               8.713               8.526               8.418               8.363               8.335
     02/06/2000           2000            0.0            0.0       1637.696           94.9          441.2          0.000          0.000            0.7             11.229             12.580             13.951             14.912             14.737             14.260             13.745             13.171             12.554              11.966              11.442              10.768              10.046               9.484               9.061               8.760               8.562               8.442               8.375               8.336
     03/06/2000           2000            0.0            0.0       1636.914           95.3          429.1          0.000          0.000            0.7             13.101             14.326             15.457             15.831             15.001             14.122             13.545             13.064             12.545              12.019              11.524              10.856              10.122               9.550               9.118               8.807               8.598               8.467               8.388               8.337
     04/06/2000           2000            0.0            0.0       1635.339           95.8          414.7          0.000         11.176            0.6             11.854             12.651             13.484             14.132             14.116             13.859             13.485             13.034             12.537              12.043              11.576              10.931              10.197               9.616               9.174               8.854               8.634               8.491               8.401               8.338
     05/06/2000           2000            0.0            0.0       1632.501           96.1          404.2          0.000          0.000            0.6             10.662             11.871             13.089             13.908             13.742             13.425             13.190             12.888             12.488              12.049              11.613              10.992              10.266               9.681               9.230               8.900               8.670               8.515               8.414               8.340
     06/06/2000           2000            0.0            0.0       1630.391           96.6          393.3          0.000          0.000            0.7             12.824             13.971             15.009             15.265             14.377             13.518             13.058             12.746             12.400              12.017              11.624              11.039              10.329               9.743               9.286               8.946               8.705               8.540               8.427               8.342
     07/06/2000           2000            0.0            0.0       1630.302           97.3          384.5          0.000          0.000            1.1             19.281             20.050             20.465             19.371             16.915             14.746             13.476             12.839             12.390              11.997              11.622              11.071              10.384               9.802               9.340               8.991               8.740               8.564               8.440               8.344
     08/06/2000           2000            0.0            0.0       1632.539           98.3          384.5          0.000          0.000            1.1             22.028             22.696             22.992             21.739             19.042             16.403             14.489             13.361             12.617              12.083              11.657              11.101              10.432               9.857               9.392               9.036               8.775               8.588               8.453               8.347
     09/06/2000           2000            0.0            0.0       1636.976           99.5          384.5          0.000          0.000            1.2             22.818             23.270             23.414             22.313             20.025             17.593             15.515             14.078             13.053              12.322              11.780              11.158              10.480               9.908               9.442               9.079               8.809               8.612               8.466               8.350
     10/06/2000           2000            0.0            0.0       1643.720          100.7          384.5          0.000          0.762            1.2             21.493             22.065             22.423             21.828             20.128             18.131             16.217             14.720             13.543              12.656              11.993              11.263              10.539               9.959               9.490               9.122               8.843               8.636               8.480               8.353
     11/06/2000           2000            0.0            0.0       1652.848          101.9          384.5          0.000          0.000            1.2             22.014             22.583             22.911             22.223             20.452             18.479             16.652             15.189             13.972              13.004              12.251              11.412              10.618              10.015               9.538               9.163               8.876               8.660               8.493               8.356
     12/06/2000           2000            0.0            0.0       1664.394          103.0          384.5          0.000          0.000            1.2             20.291             20.893             21.354             21.137             19.997             18.521             16.949             15.558             14.337              13.326              12.516              11.590              10.718              10.079               9.587               9.204               8.909               8.683               8.507               8.360
     13/06/2000           2000            0.0            0.0       1676.802          104.0          354.0          0.000         37.084            1.1             18.501             19.115             19.684             19.820             19.180             18.179             16.963             15.756             14.608              13.605              12.768              11.780              10.835              10.153               9.640               9.246               8.941               8.706               8.520               8.364
     14/06/2000           2000            0.0            0.0       1667.398          104.6          338.8          0.000          0.508            0.9             14.677             15.500             16.408             17.284             17.517             17.302             16.654             15.749             14.753              13.812              12.987              11.968              10.962              10.237               9.698               9.289               8.974               8.729               8.534               8.368
     15/06/2000           2000            0.0            0.0       1640.063          105.2          319.9          0.000          2.794            0.9             14.658             15.770             16.864             17.479             17.117             16.605             16.118             15.497             14.723              13.912              13.147              12.139              11.094              10.328               9.761               9.334               9.007               8.753               8.548               8.372
     16/06/2000           2000            0.0            0.0       1618.813          105.6          310.3          0.000          0.000            0.8             12.649             13.630             14.690             15.664             15.942             15.935             15.714             15.249             14.616              13.921              13.235              12.276              11.220              10.422               9.828               9.382               9.042               8.776               8.561               8.377
     17/06/2000           2000            0.0            0.0       1603.764          106.1          301.9          0.000          0.000            0.8             12.737             13.762             14.804             15.548             15.502             15.345             15.215             14.922             14.447              13.871              13.267              12.375              11.334              10.517               9.899               9.433               9.078               8.800               8.576               8.382
     18/06/2000           2000            0.0            0.0       1595.609          106.6          294.6          0.000          0.000            0.9             14.693             15.743             16.693             16.934             16.140             15.381             14.977             14.663             14.262              13.777              13.253              12.437              11.431              10.608               9.970               9.485               9.115               8.826               8.590               8.387
