ApsimVersion = 7.9 r4044
Title = ames-2001
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai    dlt_n_min()           Rain
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)           (mm)
     31/03/2001           2001            0.0            0.0       1247.059           23.4            0.0          0.000            0.0          4.320
     01/04/2001           2001            0.0            0.0       1255.120           23.5            0.0          0.000            0.0          0.000
     02/04/2001           2001            0.0            0.0       1263.420           23.6            0.0          0.000            0.0          0.000
     03/04/2001           2001            0.0            0.0       1268.106           23.8            0.0          0.000            0.0          0.000
     04/04/2001           2001            0.0            0.0       1273.319           24.1            0.0          0.000            0.1          0.000
     05/04/2001           2001            0.0            0.0       1278.704           24.7            0.0          0.000            0.2          0.000
     06/04/2001           2001            0.0            0.0       1281.637           25.5            0.0          0.000            0.2          6.350
     07/04/2001           2001            0.0            0.0       1283.984           26.3            0.0          0.000            0.2          0.254
     08/04/2001           2001            0.0            0.0       1283.440           27.2            0.0          0.000            0.2         13.716
     09/04/2001           2001            0.0            0.0       1280.418           27.9            0.0          0.000            0.2          0.000
     10/04/2001           2001            0.0            0.0       1272.683           28.6            0.0          0.000            0.2         10.414
     11/04/2001           2001            0.0            0.0       1229.498           29.7            0.0          0.000            0.2         22.098
     12/04/2001           2001            0.0            0.0       1191.859           30.4            0.0          0.000            0.2          0.000
     13/04/2001           2001            0.0            0.0       1184.798           31.0            0.0          0.000            0.2          2.286
     14/04/2001           2001            0.0            0.0       1189.513           31.6            0.0          0.000            0.2          0.000
     15/04/2001           2001            0.0            0.0       1197.760           32.1            0.0          0.000            0.1          0.254
     16/04/2001           2001            0.0            0.0       1205.477           32.4            0.0          0.000            0.1          0.000
     17/04/2001           2001            0.0            0.0       1214.842           32.5            0.0          0.000            0.0          0.000
     18/04/2001           2001            0.0            0.0       1226.458           32.8            0.0          0.000            0.1          0.000
     19/04/2001           2001            0.0            0.0       1240.577           33.3            0.0          0.000            0.2          0.000
     20/04/2001           2001            0.0            0.0       1256.371           34.4            0.0          0.000            0.4          1.778
     21/04/2001           2001            0.0            0.0       1266.689           35.4            0.0          0.000            0.3          0.508
     22/04/2001           2001            0.0            0.0       1267.148           36.5            0.0          0.000            0.3         18.542
     23/04/2001           2001            0.0            0.0       1260.282           37.3            0.0          0.000            0.3          0.000
     24/04/2001           2001            0.0            0.0       1253.551           38.0            0.0          0.000            0.2          1.778
     25/04/2001           2001            0.0            0.0       1260.356           38.7            0.0          0.000            0.3          0.000
     26/04/2001           2001            0.0            0.0       1266.393           39.9            0.0          0.000            0.5          0.000
     27/04/2001           2001            0.0            0.0       1273.077           41.2            0.0          0.000            0.6          0.000
     28/04/2001           2001            0.0            0.0       1281.169           42.6            0.0          0.000            0.6          0.000
     29/04/2001           2001            0.0            0.0       1290.759           44.1            0.0          0.000            0.7          0.000
     30/04/2001           2001            0.0            0.0       1300.240           45.4            0.0          0.000            0.6          6.604
     01/05/2001           2001            0.0            0.0       1308.405           46.8            0.0          0.000            0.7          4.572
     02/05/2001           2001            0.0            0.0       1309.209           47.9            0.0          0.000            0.5          9.906
     03/05/2001           2001            0.0            0.0       1295.990           48.8            0.0          0.000            0.4         21.082
     04/05/2001           2001            0.0            0.0       1276.372           49.5            0.0          0.000            0.4          3.048
     05/05/2001           2001            0.0            0.0       1261.578           50.2            0.0          0.000            0.4          3.810
     06/05/2001           2001            0.0            0.0       1233.345           51.0            0.0          0.000            0.4          5.588
     07/05/2001           2001            0.0            0.0       1229.177           51.6            0.0          0.000            0.4          0.000
     08/05/2001           2001            0.0            0.0       1235.992           52.3            0.0          0.000            0.5          0.000
     09/05/2001           2001            0.0            0.0       1247.613           53.2            0.0          0.000            0.6          1.778
     10/05/2001           2001            0.0            0.0       1245.001           54.3            0.0          0.000            0.6         24.892
     11/05/2001           2001            0.0            0.0       1229.654           55.1            0.0          0.000            0.6          0.000
     12/05/2001           2001            0.0            0.0       1231.480           55.7            0.0          0.000            0.5          0.000
     13/05/2001           2001            0.0            0.0       1230.179           56.2            0.0          0.000            0.4          6.604
     14/05/2001           2001            0.0            0.0       1235.686           57.0            0.0          0.000            0.6          0.000
     15/05/2001           2001            0.0            0.0       1248.769           58.2            0.0          0.000            1.0          0.000
     16/05/2001           2001            0.0            0.0       1263.909           59.5            0.0          0.000            1.1          0.000
     17/05/2001           2001            0.0            0.0       1271.881           60.7            0.0          0.000            1.0          0.000
     18/05/2001           2001            0.0            0.0       1280.877           61.7            0.0          0.000            0.9          0.000
     19/05/2001           2001            0.0            0.0       1291.203           62.8            0.0          0.000            0.9          0.000
     20/05/2001           2001            0.0            0.0       1295.238           63.7            0.0          0.000            0.6         40.132
     21/05/2001           2001            0.0            0.0       1279.942           64.1            0.0          0.000            0.4          1.270
     22/05/2001           2001            0.0            0.0       1272.760           64.4            0.0          0.000            0.3          0.000
     23/05/2001           2001            0.0            0.0       1268.375           64.6            0.0          0.000            0.3          3.810
     24/05/2001           2001            0.0            0.0       1267.036           64.8            0.0          0.000            0.3          0.762
     25/05/2001           2001            0.0            0.0       1263.735           65.1            0.0          0.000            0.3          6.858
     26/05/2001           2001            0.0            0.0       1254.778           65.3            0.0          0.000            0.3          5.080
     27/05/2001           2001            0.0            0.0       1250.971           65.6            0.0          0.000            0.4          0.508
     28/05/2001           2001            0.0            0.0       1253.306           66.0            0.0          0.000            0.4          3.302
     29/05/2001           2001            0.0            0.0       1262.055           66.5            0.0          0.000            0.5          0.000
     30/05/2001           2001            0.0            0.0       1266.680           66.8            0.0          0.000            0.5          0.000
     31/05/2001           2001            0.0            0.0       1264.838           67.2            0.0          0.000            0.3         16.256
     01/06/2001           2001            0.0            0.0       1251.229           67.4            0.0          0.000            0.4          1.778
     02/06/2001           2001            0.0            0.0       1247.818           67.7            0.0          0.000            0.4          0.000
     03/06/2001           2001            0.0            0.0       1253.129           68.0            0.0          0.000            0.4          0.000
     04/06/2001           2001            0.0            0.0       1261.282           68.2            0.0          0.000            0.4          0.508
     05/06/2001           2001            0.0            0.0       1260.681           68.6            0.0          0.000            0.4          7.620
     06/06/2001           2001            0.0            0.0       1263.243           69.0            0.0          0.000            0.5          0.000
     07/06/2001           2001            0.0            0.0       1267.754           69.6            0.0          0.000            0.7          0.000
     08/06/2001           2001            0.0            0.0       1274.047           70.3            0.0          0.000            0.8          0.000
     09/06/2001           2001            0.0            0.0       1282.166           71.1            0.0          0.000            0.9          0.000
     10/06/2001           2001            0.0            0.0       1291.549           72.2            0.0          0.000            1.0          3.556
     11/06/2001           2001            0.0            0.0       1302.817           73.5            0.0          0.000            1.2          0.000
     12/06/2001           2001            0.0            0.0       1313.397           74.6            0.0          0.000            1.1         14.986
     13/06/2001           2001            0.0            0.0       1321.624           75.7            0.0          0.000            1.2          0.000
     14/06/2001           2001            0.0            0.0       1324.495           76.6            0.0          0.000            1.0          9.652
     15/06/2001           2001            0.0            0.0       1327.600           77.4            0.0          0.000            0.9          0.000
     16/06/2001           2001            0.0            0.0       1332.321           78.2            0.0          0.000            1.0          4.064
     17/06/2001           2001            0.0            0.0       1340.598           79.2            0.0          0.000            1.1          0.000
     18/06/2001           2001            0.0            0.0       1351.705           80.4            0.0          0.000            1.3          0.000
     19/06/2001           2001            0.0            0.0       1364.835           81.4            0.0          0.000            1.0          0.000
     20/06/2001           2001            0.0            0.0       1379.401           82.2            0.0          0.000            0.9          0.254
     21/06/2001           2001            0.0            0.0       1394.888           83.0            0.0          0.000            0.8          0.000
     22/06/2001           2001            0.0            0.0       1410.897           83.6            0.0          0.000            0.7          0.000
     23/06/2001           2001            0.0            0.0       1427.016           84.3            0.0          0.000            0.7          0.000
     24/06/2001           2001            0.0            0.0       1443.557           85.2            0.0          0.000            0.9          0.000
     25/06/2001           2001            0.0            0.0       1461.022           86.4            0.0          0.000            1.2          0.000
     26/06/2001           2001            0.0            0.0       1479.204           87.9            0.0          0.000            1.3          0.000
     27/06/2001           2001            0.0            0.0       1497.722           89.2            0.0          0.000            1.3          0.000
     28/06/2001           2001            0.0            0.0       1516.091           90.6            0.0          0.000            1.3          0.000
     29/06/2001           2001            0.0            0.0       1533.912           91.9            0.0          0.000            1.3          0.000
     30/06/2001           2001            0.0            0.0       1551.309           93.2            0.0          0.000            1.3          0.000
     01/07/2001           2001            0.0            0.0       1567.475           94.2            0.0          0.000            1.1          0.000
     02/07/2001           2001            0.0            0.0       1581.713           95.0            0.0          0.000            0.9          0.000
     03/07/2001           2001            0.0            0.0       1593.782           96.0            0.0          0.000            1.0          1.016
     04/07/2001           2001            0.0            0.0       1603.840           97.3            0.0          0.000            1.2          0.000
     05/07/2001           2001            0.0            0.0       1612.223           98.5            0.0          0.000            1.2          0.000
     06/07/2001           2001            0.0            0.0       1619.279           99.7            0.0          0.000            1.2          0.000
     07/07/2001           2001            0.0            0.0       1625.299          101.0            0.0          0.000            1.3          0.000
     08/07/2001           2001            0.0            0.0       1630.325          102.6            0.0          0.000            1.6         10.160
     09/07/2001           2001            0.0            0.0       1634.657          103.8            0.0          0.000            1.3          0.000
     10/07/2001           2001            0.0            0.0       1638.451          104.9            0.0          0.000            1.3          0.000
     11/07/2001           2001            0.0            0.0       1642.492          106.1            0.0          0.000            1.2          0.000
     12/07/2001           2001            0.0            0.0       1647.242          107.3            0.0          0.000            1.2          0.000
     13/07/2001           2001            0.0            0.0       1653.074          108.5            0.0          0.000            1.2          0.000
     14/07/2001           2001            0.0            0.0       1660.602          109.8            0.0          0.000            1.2          0.000
