site,year,gap_at_rotaonr_kgha,gap_at_contaonr_kgha,ngap_frac
monm,2004,3323.8330896187417,438.6451668361169,0.8680303267314691
monm,2005,3359.403620922134,NA,NA
monm,2006,2162.1899218689396,525.4584179621997,0.7569786018112565
monm,2007,307.3636163857391,47.268794527482896,0.8462121343986241
monm,2008,2686.7146159633558,66.76449172396678,0.9751501364055268
orrc,2000,0,0,1
orrc,2001,484.29091779127884,281.533539109565,0.4186685548563163
orrc,2002,372.11270815761327,0,1
orrc,2003,NA,NA,NA
orrc,2004,159.26685230122166,0,1
orrc,2005,697.0016046329483,510.40867991211144,0.26770802747161476
orrc,2006,0,0,1
orrc,2007,0,0,1
orrc,2008,0,0,1
urba,1999,NA,NA,NA
urba,2000,3619.040213816289,3300.7736305887192,0.08794226215352183
urba,2001,162.07061788551982,95.258811746633,0.4122388561884795
urba,2002,605.3348023039962,498.91601904809613,0.17580152809792862
urba,2003,767.3010733110423,174.66062204530317,0.772370158050723
urba,2004,729.589018087865,445.29252165342587,0.38966663338701885
urba,2006,0,0,1
urba,2007,121.6758112549469,56.87411338540733,0.5325766658235859
urba,2008,793.2769935932392,325.902596438862,0.5891692320955272
ames,2001,3466.997319685024,2529.642620689385,0.2703649909601885
ames,2002,1634.098457718459,1619.5371232639009,0.008910928460754324
ames,2003,3435.764377921515,2085.234719244484,0.3930798244942633
ames,2004,2010.2189253256656,540.92423116188,0.7309127755454558
ames,2005,2440.0190890101176,2314.0875277533987,0.05161089182618139
ames,2006,1631.3960175897391,1610.3088251059908,0.012925857521034688
ames,2007,501.1179976412659,501.1179976412659,0
ames,2008,1171.0039001658224,NA,NA
ames,2009,758.2534330699491,530.2966947246259,0.30063396801567016
ames,2010,1134.047582570507,600.5342334034631,0.4704505854663941
ames,2011,1049.5779875920744,1013.4374976390718,0.03443335357662702
ames,2012,1128.6530808054213,1063.4632511855289,0.05775896130401036
ames,2013,503.70418407272336,325.4154945408791,0.3539551490128251
ames,2014,666.9493849823539,301.8057625520614,0.5474832583284464
ames,2015,2393.167961185576,1234.821743634473,0.48402211476091217
ames,2016,389.10346052411114,302.3805360825154,0.22287883105635317
craw,1999,NA,NA,NA
craw,2000,2955.6616357123858,314.032489664949,0.8937522191746893
craw,2001,1507.8223410317105,1110.7757750315413,0.26332450129933377
craw,2002,3893.9558698018127,3827.3787614321445,0.01709755081868883
craw,2003,4498.755334371915,4046.1287946643843,0.10061150386403998
craw,2005,NA,NA,NA
craw,2006,1366.377841220461,NA,NA
craw,2007,NA,NA,NA
craw,2009,2706.6852640333473,1620.835829169051,0.40117314314048674
craw,2010,1041.374818506025,669.8852177914969,0.3567299632302169
craw,2011,NA,NA,NA
craw,2012,1452.5552681706085,1449.1005053801819,0.002378403676699831
craw,2013,2861.6614411659357,2819.5157391793173,0.014727703766888249
craw,2014,1527.1570477708738,1504.881974204145,0.014585974375878798
craw,2015,2496.513565162448,2066.858511152561,0.17210203061000767
craw,2016,525.0544640521621,235.97857280224707,0.5505636291879931
kana,2005,NA,NA,NA
kana,2006,1952.3583797214305,1898.5030125346675,0.02758477528825794
kana,2007,3392.18866445172,3385.695714600216,0.0019140886589081758
kana,2008,2999.617701728298,2711.131161035544,0.09617443600447341
kana,2009,1827.4290412767396,1812.6115774310892,0.008108366186026046
kana,2010,1243.7306621017306,NA,NA
kana,2011,1081.6619317055756,1016.248719638741,0.06047472888658509
kana,2012,1880.6877216352987,NA,NA
kana,2014,NA,NA,NA
kana,2015,817.925010710951,458.9280757641427,0.4389117953915647
kana,2016,879.9958402082157,749.7639342700968,0.1479915017635819
lewi,2001,NA,NA,NA
lewi,2002,852.046806488036,844.4428550871844,0.008924335309926928
lewi,2003,2118.5661486628087,2016.6096239295584,0.048125249616398774
lewi,2004,1552.4802248395263,215.9453753987509,0.8609029783802417
lewi,2005,845.649103188065,542.9290402646948,0.35797361078268414
lewi,2006,415.7548729666996,274.93781631835736,0.33870211945686846
lewi,2007,491.81019904809,490.6451028120355,0.00236899567823033
lewi,2008,1099.7873149446968,962.8850851313582,0.12448064089575611
lewi,2009,1170.8784242702295,1094.4727528500425,0.06525499986713665
lewi,2010,NA,NA,NA
lewi,2011,2410.8034303619006,1029.0591440633807,0.5731468061214339
lewi,2012,3725.5172426959202,3280.0213066497004,0.1195796199627418
lewi,2013,0,NA,NA
lewi,2014,1032.9504084674281,857.6454465193874,0.1697128540838063
lewi,2016,NA,NA,NA
mcna,1999,NA,NA,NA
mcna,2000,153.39315471548798,130.4729543393023,0.14942127253786405
mcna,2001,1184.175596691167,1129.8674989614092,0.04586152415360175
mcna,2002,3191.7019733363386,1252.9744605226988,0.6074274882209807
mcna,2003,2660.5523061032836,1678.8304640899069,0.36899174647358574
mcna,2005,NA,NA,NA
mcna,2006,441.4862986425869,0,1
mcna,2007,1851.7737036395993,NA,NA
mcna,2012,NA,NA,NA
mcna,2013,NA,NA,NA
mcna,2014,NA,NA,NA
mcna,2016,238.48922292205862,209.22238752619705,0.12271764332691186
nash,2005,NA,NA,NA
nash,2006,1075.5112786277023,936.0730038370439,0.12964836125993448
nash,2007,NA,NA,NA
nash,2008,NA,NA,NA
nash,2009,2092.67849343946,2090.6528032773313,9.679891911152485e-4
nash,2010,NA,NA,NA
nash,2011,1085.8008621154077,618.7643895386627,0.43013087286267465
nash,2012,1533.1610417097963,1354.4487731905992,0.11656457714311304
nash,2013,NA,NA,NA
nash,2014,NA,NA,NA
nash,2015,440.4336278793053,439.6819799747318,0.0017066087986802243
nash,2016,NA,NA,NA
suth,2001,1293.6885899366416,1252.0531571848533,0.03218350465147679
suth,2002,1955.7238700556736,1359.3975928897053,0.3049133296864617
suth,2003,2556.856752160161,1958.1194706646847,0.23416927091814305
suth,2005,543.4097223587705,522.2514640709669,0.03893610551530488
suth,2006,1232.7807696491654,1056.5541040560402,0.14295053097176172
suth,2007,713.8619572424923,646.5020024431597,0.09435991667006717
suth,2008,2601.507918559386,2483.145288111049,0.045497701392306925
suth,2009,2215.9478318980728,1970.5444148686474,0.1107442212749317
suth,2010,1812.8059097087062,42.19981611613002,0.9767212717643275
suth,2011,996.5395277772859,700.7759124799431,0.29679065110144054
suth,2012,2811.650970235063,2809.159629789414,8.860774228463261e-4
suth,2013,NA,NA,NA
suth,2014,1695.8892218039327,709.2471547717105,0.581784502399704
suth,2015,739.0536010513933,640.803062755891,0.13294101829113483
suth,2016,769.8862589267537,62.24878504105982,0.9191454785440168
