site,year,gap_at_rotaonr_kgha,gap_at_contaonr_kgha,ngap_frac
orrc,2003,1324.6971494673926,0,1
orrc,2004,3208.7464128189786,0,1
orrc,2005,1658.649177099709,0,1
orrc,2006,1170.6024410675727,0,1
orrc,2007,3732.001788880628,0,1
orrc,2008,1875.078618057967,0,1
orrc,2000,NA,NA,NA
urba,1999,1006.649457657255,0,1
urba,2000,2411.285358899382,0,1
urba,2001,839.6709921364181,0,1
urba,2002,1851.4621784109258,136.8544816331596,0.926083026038037
urba,2003,1212.875730218524,0,1
urba,2004,3145.985301694527,0,1
urba,2005,0,0,1
urba,2006,0,0,1
urba,2008,560.0247295587105,0,1
