set_id,till,site,rot2,year,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,TTsum
1,normal,ames,sc,2001,211.272,0,7.5,7.5,1548.18,134,199,248,4.843,725.449,307.75,1.991,1.948,1.741,1629.481,514.7,5.1,0.347,0.338,NA
1,normal,ames,sc,2003,233.444,0,7.8,7.8,1515.41,126,198,253,4.271,808.071,382.421,1.981,1.938,1.75,1546.361,842.4,8.4,0.349,0.316,NA
1,normal,ames,sc,2005,256.135,0,8,8,1566.608,131,199,253,5.363,872.805,395.726,1.978,1.964,1.769,1701.914,337.6,5.6,0.347,0.311,NA
1,normal,ames,sc,2007,221.583,0,8,8,1576.773,139,203,256,5.255,825.039,337.015,1.984,1.962,1.804,1637.872,324.1,4.4,0.349,0.347,NA
1,normal,ames,sc,2009,239.226,0,8,8,1517.548,133,203,266,4.725,752.77,282.218,1.994,1.958,1.867,1584.736,337.3,4.1,0.357,0.329,NA
1,normal,ames,sc,2011,215.329,0,7.9,7.9,1511.979,139,204,260,4.554,680.198,259.686,1.994,1.941,1.775,1577.105,845.4,9.3,0.349,0.323,NA
1,normal,ames,sc,2013,152.739,0,7.9,7.9,1563.604,150,211,265,4.904,826.309,352.659,1.9,1.98,1.864,1721.269,413.5,4.4,0.334,0.315,NA
1,normal,ames,sc,2015,222.967,0,8.9,8.9,1513.873,141,206,263,4.772,806.496,292.682,1.993,1.891,1.866,1328.183,247.4,3,0.375,0.304,NA
1,normal,ames,sc,2002,236.34,0,7.9,7.9,1527.881,130,195,248,4.934,809.957,345.311,1.986,1.961,1.788,1667.857,477.7,5.6,0.339,0.336,NA
1,normal,ames,sc,2004,260.763,0,8,8,1531.139,127,201,266,4.409,746.592,296.194,1.994,1.939,1.865,1470.312,442.8,5.3,0.346,0.34,NA
1,normal,ames,sc,2006,232.95,0,8,8,1603.406,138,201,256,4.825,779.489,340.771,1.954,1.983,1.781,1806.218,418.8,5,0.355,0.333,NA
1,normal,ames,sc,2008,236.344,0,7.4,7.4,1367.352,142,209,275,4.255,787.197,315.325,1.994,1.863,1.782,1208.033,456.4,4.9,0.355,0.351,NA
1,normal,ames,sc,2010,174.947,0,8,8,1061.989,127,195,243,3.036,723.214,243.287,1.994,1.802,1.746,945.39,429.1,5.7,0.349,0.328,NA
1,normal,ames,sc,2012,200.667,0,7.9,7.9,1565.123,137,195,244,4.712,935.201,425.309,1.728,1.995,1.773,1845.975,91.5,1.2,0.344,0.341,NA
1,normal,ames,sc,2014,186.455,0,7.9,7.9,1266.419,134,203,262,3.288,710.164,236.007,1.994,1.854,1.807,1109.553,321.7,4.1,0.352,0.34,NA
1,normal,ames,sc,2016,213.143,0,8.6,8.6,1585.679,127,192,243,5.274,765.949,308.466,1.987,1.93,1.743,1520.605,327.7,4,0.351,0.301,NA
1,reduced,ames,cc,2001,209.641,0,6.5,6.5,1508.092,134,199,248,4.377,564.561,289.46,1.994,1.914,1.728,1400.136,5241.1,46.6,0.345,0.362,NA
1,reduced,ames,cc,2002,234.256,0,7.9,7.9,1507.685,130,195,248,4.694,629.657,334.964,1.993,1.919,1.778,1344.284,4169.6,35.4,0.34,0.356,NA
1,reduced,ames,cc,2003,216.53,0,7.8,7.8,1166.586,126,198,253,3.647,598.696,351.113,1.982,1.876,1.738,1244.071,5529.9,47.4,0.35,0.346,NA
1,reduced,ames,cc,2004,254.555,0,8,8,1383.086,127,200,266,3.651,488.128,272.876,1.994,1.869,1.837,1142.875,7605.7,65.3,0.347,0.361,NA
1,reduced,ames,cc,2005,250.779,0,8,8,1518.268,131,199,253,4.912,632.61,377.314,1.994,1.907,1.755,1335.779,5260.6,39.6,0.348,0.348,NA
1,reduced,ames,cc,2006,236.787,0,8,8,1537.528,138,201,256,4.826,533.668,337.695,1.992,1.945,1.774,1514.593,7240.2,62.9,0.357,0.358,NA
1,reduced,ames,cc,2007,219.248,0,8,8,1524.678,139,202,256,4.999,563.375,324.041,1.993,1.908,1.789,1328.781,5816.6,49.1,0.35,0.378,NA
1,reduced,ames,cc,2008,220.547,0,7.4,7.4,1158.925,142,211,278,3.85,549.038,295.539,1.994,1.82,1.789,1034.152,6245.1,53.1,0.355,0.384,NA
1,reduced,ames,cc,2009,236.46,0,8,8,1500.388,133,203,266,4.145,472.886,269.421,1.994,1.894,1.851,1216.499,7144.3,61.3,0.358,0.366,NA
1,reduced,ames,cc,2010,142.336,0,8,8,916.439,127,195,243,2.312,499.201,194.73,1.994,1.741,1.732,699.023,5651.9,48.5,0.35,0.355,NA
1,reduced,ames,cc,2011,211.199,0,7.9,7.9,1466.594,139,204,260,4.24,546.274,253.065,1.994,1.912,1.769,1386.581,3933.3,31.9,0.351,0.347,NA
1,reduced,ames,cc,2012,198.331,0,7.9,7.9,1531.79,137,195,244,4.47,675.799,413.634,1.886,1.966,1.768,1674.472,4828.1,42.3,0.347,0.371,NA
1,reduced,ames,cc,2013,151.089,0,7.9,7.9,1513.927,150,211,265,4.645,528.943,339.282,1.982,1.932,1.84,1443.897,6762.7,61.5,0.339,0.372,NA
1,reduced,ames,cc,2014,144.568,0,7.9,7.9,1060.89,134,205,265,2.119,414.195,174.841,1.994,1.757,1.798,749.958,8447.2,79.2,0.353,0.385,NA
1,reduced,ames,cc,2015,218.819,0,8.9,8.9,1279.232,141,206,263,4.408,641.194,283.995,1.993,1.858,1.86,1085.833,2244.3,18.7,0.376,0.344,NA
1,reduced,ames,cc,2016,212.343,0,8.6,8.6,1511.116,127,192,243,5.172,582.114,301.446,1.994,1.901,1.737,1239.323,4556.7,38,0.352,0.346,NA
1,reduced,ames,sc,2001,211.383,0,7.5,7.5,1550.185,134,199,248,4.852,716.553,308.439,1.99,1.95,1.743,1616.058,628.9,6.6,0.347,0.34,NA
1,reduced,ames,sc,2003,227.36,0,7.8,7.8,1321.234,126,198,253,3.971,713.044,371.363,1.982,1.905,1.744,1386.925,2954,31.5,0.35,0.337,NA
1,reduced,ames,sc,2005,254.7,0,8,8,1544.354,131,199,253,5.226,811.868,390.432,1.988,1.951,1.769,1605.916,1220.7,17,0.348,0.325,NA
1,reduced,ames,sc,2007,221.527,0,8,8,1572.405,139,203,256,5.251,765.019,336.313,1.987,1.957,1.803,1582.985,931.1,12.6,0.35,0.359,NA
1,reduced,ames,sc,2009,238.982,0,8,8,1512.511,133,203,266,4.672,713.422,281.136,1.994,1.95,1.867,1538.426,806.2,9.4,0.358,0.337,NA
1,reduced,ames,sc,2011,213.205,0,7.9,7.9,1513.594,139,204,260,4.393,633.048,256.912,1.994,1.928,1.774,1517.142,1837.7,19.7,0.351,0.334,NA
1,reduced,ames,sc,2013,152.748,0,7.9,7.9,1558.266,150,211,265,4.907,763.457,351.916,1.918,1.974,1.864,1671.942,1242.4,13.6,0.337,0.338,NA
1,reduced,ames,sc,2015,221.983,0,8.9,8.9,1526.531,141,206,263,4.716,759.403,291.541,1.993,1.884,1.867,1289.639,581.4,7,0.376,0.318,NA
1,reduced,ames,sc,2002,236.036,0,7.9,7.9,1520.312,130,195,248,4.903,759.789,343.454,1.991,1.952,1.787,1582.059,1253.6,14.8,0.34,0.344,NA
1,reduced,ames,sc,2004,259.288,0,8,8,1528.769,127,201,266,4.248,672.723,291.838,1.994,1.921,1.861,1373.142,1720,20.4,0.347,0.349,NA
1,reduced,ames,sc,2006,233.744,0,8,8,1600.41,138,201,256,4.874,739.564,341.598,1.961,1.98,1.783,1773.295,997.6,11.7,0.356,0.34,NA
1,reduced,ames,sc,2008,229.432,0,7.4,7.4,1335.953,142,211,279,4.204,745.715,315.535,1.994,1.855,1.806,1178.546,1179.2,13.1,0.355,0.359,NA
1,reduced,ames,sc,2010,166.608,0,8,8,961.43,127,195,243,2.796,630.057,230.563,1.994,1.783,1.743,843.825,2044.2,25,0.35,0.343,NA
1,reduced,ames,sc,2012,200.737,0,7.9,7.9,1564.671,137,195,244,4.718,899.205,425.678,1.733,1.995,1.774,1833.055,216.7,2.7,0.345,0.346,NA
1,reduced,ames,sc,2014,178.857,0,7.9,7.9,1187.968,134,203,262,2.996,647.148,226.003,1.994,1.833,1.802,1002.085,1168.5,14.2,0.353,0.349,NA
1,reduced,ames,sc,2016,213.445,0,8.6,8.6,1578.363,127,192,243,5.294,727.963,308.486,1.991,1.926,1.744,1480.771,781.7,9.6,0.352,0.315,NA
1002,normal,ames,cc,2001,210.541,0,6.5,6.5,1534.187,134,199,248,4.471,635.687,293.818,1.994,1.93,1.734,1486.953,2990.8,27.5,0.347,0.357,NA
1002,normal,ames,cc,2002,235.726,0,7.9,7.9,1516.278,130,195,248,4.882,730.437,342.172,1.992,1.944,1.786,1503.908,1743,14.9,0.339,0.348,NA
1002,normal,ames,cc,2003,213.056,0,7.8,7.081,1289.582,126,198,253,3.547,668.048,352.153,1.986,1.893,1.743,1317.433,3769.5,32.4,0.349,0.343,NA
1002,normal,ames,cc,2004,256.747,0,8,7.814,1514.107,127,201,266,4.073,648.036,287.102,1.994,1.911,1.855,1325.041,2328.8,20.2,0.346,0.354,NA
1002,normal,ames,cc,2005,253.699,0,8,7.988,1531.041,131,199,253,5.138,753.48,386.314,1.992,1.94,1.763,1511.886,2243.3,19.3,0.347,0.336,NA
1002,normal,ames,cc,2006,236.933,0,8,8,1584.35,138,201,256,5.001,671.492,343.848,1.974,1.971,1.779,1687.715,2821.3,24.5,0.354,0.351,NA
1002,normal,ames,cc,2007,220.945,0,8,7.982,1561.879,139,203,256,5.203,709.036,333.786,1.99,1.948,1.798,1502.748,2001.5,17.7,0.349,0.367,NA
1002,normal,ames,cc,2008,223.386,0,7.4,7.094,1273.579,142,211,279,4.027,677.19,307.154,1.994,1.843,1.802,1136.367,2604.2,22.9,0.355,0.371,NA
1002,normal,ames,cc,2009,238.505,0,8,8,1505.135,133,203,266,4.435,598.184,276.527,1.994,1.923,1.858,1365.877,3369.7,28.8,0.357,0.356,NA
1002,normal,ames,cc,2010,167.321,0,8,8,962.091,127,195,243,2.815,649.263,231.705,1.994,1.785,1.742,852.873,1681.4,14.4,0.349,0.341,NA
1002,normal,ames,cc,2011,212.707,0,7.9,7.9,1512.13,139,204,260,4.359,620.789,255.994,1.994,1.923,1.772,1485.956,2160.6,17.4,0.349,0.339,NA
1002,normal,ames,cc,2012,200.298,0,7.9,7.9,1561.854,137,195,244,4.674,839.747,423.846,1.765,1.991,1.773,1798.114,1020.9,8.9,0.344,0.356,NA
1002,normal,ames,cc,2013,152.074,0,7.9,7.817,1550.418,150,211,265,4.877,693.057,349.387,1.939,1.965,1.861,1602.352,2692.9,26.5,0.335,0.355,NA
1002,normal,ames,cc,2014,168.65,0,7.9,7.9,1099.443,134,203,262,2.706,577.796,211.369,1.994,1.815,1.797,903.408,2603,26.9,0.352,0.362,NA
1002,normal,ames,cc,2015,220.472,0,8.9,8.9,1363.487,141,206,263,4.577,716.913,288.083,1.993,1.871,1.864,1203.898,1158.8,9.6,0.375,0.333,NA
1002,normal,ames,cc,2016,213.362,0,8.6,8.6,1562.262,127,192,243,5.278,697.339,307.128,1.994,1.92,1.742,1396.032,1592.3,13.3,0.351,0.332,NA
1002,normal,ames,sc,2001,211.291,0,7.5,7.5,1548.526,134,199,248,4.844,726.932,307.872,1.991,1.949,1.743,1631.399,487.9,5.2,0.347,0.337,NA
1002,normal,ames,sc,2003,233.514,0,7.8,7.8,1500.458,126,198,253,4.275,808.793,382.624,1.981,1.938,1.752,1547.982,829.8,8.4,0.349,0.315,NA
1002,normal,ames,sc,2005,256.146,0,8,8,1566.75,131,199,253,5.364,873.104,395.95,1.978,1.964,1.771,1702.608,332.7,5.6,0.347,0.311,NA
1002,normal,ames,sc,2007,221.561,0,8,7.994,1576.767,139,203,256,5.253,825.035,336.962,1.984,1.962,1.805,1637.86,324.1,4.4,0.349,0.347,NA
1002,normal,ames,sc,2009,239.221,0,8,8,1517.423,133,203,266,4.724,752.236,282.255,1.994,1.958,1.869,1583.753,343.2,4.2,0.357,0.329,NA
1002,normal,ames,sc,2011,215.317,0,7.9,7.9,1508.958,139,204,260,4.553,679.854,259.735,1.994,1.941,1.776,1576.687,850.9,9.4,0.349,0.323,NA
1002,normal,ames,sc,2013,152.74,0,7.9,7.9,1563.62,150,211,265,4.904,826.41,352.742,1.9,1.98,1.865,1721.369,412.4,4.5,0.334,0.315,NA
1002,normal,ames,sc,2015,222.969,0,8.9,8.9,1511.293,141,206,263,4.772,805.905,292.818,1.993,1.891,1.868,1327.545,250.7,3.1,0.375,0.304,NA
1002,normal,ames,sc,2002,236.346,0,7.9,7.9,1527.922,130,195,248,4.935,809.952,345.38,1.986,1.961,1.789,1668.372,477.2,5.6,0.339,0.336,NA
1002,normal,ames,sc,2004,259.683,0,8,7.814,1508.47,127,201,266,4.353,747.064,294.502,1.994,1.94,1.866,1471.033,436.5,5.2,0.346,0.34,NA
1002,normal,ames,sc,2006,232.95,0,8,8,1603.324,138,201,256,4.825,778.016,340.885,1.954,1.983,1.783,1804.873,435.7,5.2,0.355,0.334,NA
1002,normal,ames,sc,2008,230.085,0,7.4,7.387,1353.685,142,211,280,4.235,790.797,318.964,1.994,1.863,1.81,1208.073,474.3,5.1,0.355,0.351,NA
1002,normal,ames,sc,2010,174.992,0,8,8,1060.163,127,195,243,3.037,722.871,243.454,1.994,1.802,1.748,945.072,432.9,5.7,0.349,0.328,NA
1002,normal,ames,sc,2012,200.666,0,7.9,7.9,1565.128,137,195,244,4.712,935.182,425.388,1.728,1.995,1.774,1845.988,91.5,1.2,0.344,0.341,NA
1002,normal,ames,sc,2014,186.487,0,7.9,7.9,1266.436,134,203,262,3.289,710.177,236.09,1.994,1.854,1.809,1109.591,321,4.1,0.352,0.34,NA
1002,normal,ames,sc,2016,213.153,0,8.6,8.6,1585.672,127,192,243,5.274,765.928,308.553,1.987,1.93,1.745,1520.57,327.7,4,0.351,0.301,NA
1002,reduced,ames,cc,2001,209.114,0,6.5,6.464,1508.028,134,199,248,4.364,564.342,289.019,1.994,1.914,1.728,1399.767,5243,46.6,0.345,0.362,NA
1002,reduced,ames,cc,2002,234.083,0,7.9,7.838,1507.819,130,195,248,4.68,629.595,334.468,1.993,1.919,1.778,1344.366,4167.8,35.4,0.34,0.356,NA
1002,reduced,ames,cc,2003,198.085,0,7.8,6.765,1137.014,126,198,254,3.201,581.47,318.647,1.989,1.869,1.744,1215.819,5513.1,47.2,0.349,0.346,NA
1002,reduced,ames,cc,2004,255.209,0,8,7.814,1408.546,127,200,266,3.68,510.151,273.822,1.994,1.874,1.848,1165.937,6612.8,56.7,0.347,0.36,NA
1002,reduced,ames,cc,2005,247.367,0,8,7.649,1505.551,131,199,253,4.84,637.446,374.062,1.994,1.909,1.756,1344.575,5118.3,43.9,0.348,0.348,NA
1002,reduced,ames,cc,2006,236.824,0,8,8,1537.723,138,201,256,4.831,534.8,337.829,1.992,1.945,1.774,1516.472,7185.7,62.5,0.357,0.358,NA
1002,reduced,ames,cc,2007,217.191,0,8,7.488,1522.796,139,202,256,4.872,561.602,319.825,1.993,1.907,1.789,1324.672,5824.9,49.2,0.35,0.378,NA
1002,reduced,ames,cc,2008,211.534,0,7.4,6.822,1173.248,142,211,278,3.664,548.323,287.168,1.994,1.819,1.792,1032.279,6113.2,51.9,0.355,0.384,NA
1002,reduced,ames,cc,2009,236.49,0,8,7.981,1516.391,133,203,266,4.149,476.007,269.513,1.994,1.895,1.851,1220.263,7007.2,60.2,0.358,0.366,NA
1002,reduced,ames,cc,2010,138.234,0,8,7.594,911.168,127,195,243,2.211,499.216,188.759,1.994,1.74,1.732,699.567,5659.6,48.6,0.35,0.355,NA
1002,reduced,ames,cc,2011,211.345,0,7.9,7.9,1479.211,139,204,260,4.251,550.682,253.323,1.994,1.913,1.769,1393.404,3802.2,30.8,0.351,0.346,NA
1002,reduced,ames,cc,2012,198.317,0,7.9,7.9,1530.436,137,195,244,4.468,675.105,413.557,1.887,1.966,1.767,1673.704,4856.9,42.6,0.347,0.371,NA
1002,reduced,ames,cc,2013,144.597,0,7.9,6.99,1511.709,150,211,265,4.445,524.876,331.768,1.984,1.931,1.843,1438.742,6765,61.6,0.339,0.372,NA
1002,reduced,ames,cc,2014,141.721,0,7.9,7.543,1070.859,134,205,265,2.056,416.86,171.247,1.994,1.758,1.799,753.474,8319.2,78.7,0.353,0.385,NA
1002,reduced,ames,cc,2015,219.116,0,8.9,8.9,1294.446,141,206,263,4.428,645.093,284.559,1.993,1.86,1.861,1093.004,2160.4,18,0.376,0.344,NA
1002,reduced,ames,cc,2016,212.326,0,8.6,8.6,1510.283,127,192,243,5.17,581.443,301.366,1.994,1.9,1.737,1238.185,4578.5,38.2,0.352,0.346,NA
1002,reduced,ames,sc,2001,211.383,0,7.5,7.5,1550.178,134,199,248,4.851,716.455,308.437,1.99,1.95,1.743,1616.005,629.9,6.6,0.347,0.34,NA
1002,reduced,ames,sc,2003,223.205,0,7.8,7.515,1316.758,126,198,253,3.867,710.77,366.508,1.983,1.904,1.744,1383.438,2958.2,31.6,0.35,0.337,NA
1002,reduced,ames,sc,2005,254.692,0,8,7.995,1545.095,131,199,253,5.23,813.94,390.601,1.987,1.952,1.769,1609.556,1188.4,16.7,0.348,0.324,NA
1002,reduced,ames,sc,2007,221.491,0,8,7.99,1572.394,139,203,256,5.249,764.983,336.234,1.987,1.957,1.803,1582.932,931.3,12.6,0.35,0.359,NA
1002,reduced,ames,sc,2009,238.986,0,8,8,1512.545,133,203,266,4.673,713.702,281.153,1.994,1.95,1.867,1538.944,801.7,9.3,0.358,0.336,NA
1002,reduced,ames,sc,2011,213.215,0,7.9,7.9,1514.904,139,204,260,4.394,633.618,256.926,1.994,1.928,1.774,1518.007,1822.4,19.6,0.351,0.334,NA
1002,reduced,ames,sc,2013,152.748,0,7.9,7.9,1558.269,150,211,265,4.907,763.489,351.916,1.918,1.974,1.864,1671.967,1241.9,13.6,0.337,0.338,NA
1002,reduced,ames,sc,2015,222,0,8.9,8.9,1529.684,141,206,263,4.717,759.809,291.563,1.993,1.884,1.867,1290.16,577.8,7,0.376,0.318,NA
1002,reduced,ames,sc,2002,236.042,0,7.9,7.9,1520.403,130,195,248,4.903,760.274,343.477,1.991,1.953,1.787,1583.078,1244.9,14.6,0.34,0.344,NA
1002,reduced,ames,sc,2004,258.318,0,8,7.814,1526.489,127,201,266,4.203,675.105,290.373,1.994,1.922,1.861,1377.679,1655.7,19.5,0.347,0.349,NA
1002,reduced,ames,sc,2006,233.742,0,8,8,1600.427,138,201,256,4.874,739.696,341.597,1.96,1.98,1.783,1773.442,995.4,11.6,0.356,0.34,NA
1002,reduced,ames,sc,2008,228.988,0,7.4,7.366,1336.534,142,211,279,4.196,746.161,315.197,1.994,1.855,1.806,1178.873,1168.3,13,0.355,0.359,NA
1002,reduced,ames,sc,2010,166.486,0,8,8,971.422,127,195,243,2.792,629.417,230.386,1.994,1.783,1.743,842.967,2061.3,25.2,0.35,0.343,NA
1002,reduced,ames,sc,2012,200.737,0,7.9,7.9,1564.671,137,195,244,4.718,899.211,425.678,1.733,1.995,1.774,1833.06,216.6,2.7,0.345,0.346,NA
1002,reduced,ames,sc,2014,178.847,0,7.9,7.9,1187.725,134,203,262,2.995,647.107,225.99,1.994,1.833,1.802,1002.013,1169.1,14.2,0.353,0.349,NA
1002,reduced,ames,sc,2016,213.445,0,8.6,8.6,1578.37,127,192,243,5.294,727.982,308.486,1.991,1.926,1.744,1480.805,781.3,9.6,0.352,0.315,NA
1003,normal,ames,cc,2001,203.73,0,6.5,6.028,1533.728,134,199,248,4.296,634.375,287.945,1.994,1.93,1.734,1484.718,2973.5,27.4,0.347,0.357,NA
1003,normal,ames,cc,2002,235.056,0,7.9,7.669,1516.477,130,195,248,4.83,730.795,340.365,1.992,1.945,1.786,1505.185,1729.7,14.8,0.339,0.348,NA
1003,normal,ames,cc,2003,193.623,0,7.8,6.066,1276.074,126,198,253,3.068,657.367,324.978,1.991,1.891,1.743,1300.47,3728.6,32.1,0.349,0.342,NA
1003,normal,ames,cc,2004,257.81,0,8,7.921,1508.647,127,201,266,4.128,656.677,288.646,1.994,1.913,1.856,1339.125,2090.4,18.2,0.346,0.353,NA
1003,normal,ames,cc,2005,249.699,0,8,7.629,1530.76,131,199,253,5.026,751.595,382.184,1.992,1.939,1.764,1509.476,2247.5,19.4,0.347,0.336,NA
1003,normal,ames,cc,2006,236.71,0,8,7.965,1584.84,138,201,256,4.988,672.91,343.464,1.974,1.972,1.779,1689.781,2769.9,24.1,0.354,0.351,NA
1003,normal,ames,cc,2007,219.761,0,8,7.66,1561.571,139,203,256,5.125,709.345,331.231,1.99,1.948,1.798,1502.842,1979.6,17.6,0.349,0.367,NA
1003,normal,ames,cc,2008,217.294,0,7.4,6.704,1266.01,142,211,279,3.888,676.5,301.387,1.994,1.842,1.803,1135.358,2553.2,22.4,0.355,0.37,NA
1003,normal,ames,cc,2009,235.792,0,8,7.477,1505.636,133,203,266,4.288,599.321,272.323,1.994,1.923,1.858,1366.925,3310.8,28.4,0.357,0.356,NA
1003,normal,ames,cc,2010,163.138,0,8,7.61,959.634,127,195,243,2.709,651.281,225.774,1.994,1.785,1.742,855.021,1618.1,13.9,0.349,0.341,NA
1003,normal,ames,cc,2011,209.229,0,7.9,7.581,1517.252,139,204,260,4.287,623.094,253.97,1.994,1.924,1.772,1489.84,2106,17,0.349,0.338,NA
1003,normal,ames,cc,2012,200.273,0,7.9,7.896,1561.966,137,195,244,4.674,840.973,423.866,1.764,1.991,1.773,1798.982,991.5,8.7,0.344,0.356,NA
1003,normal,ames,cc,2013,146.185,0,7.9,6.976,1549.469,150,211,265,4.686,691.097,342.564,1.946,1.965,1.861,1601.543,2693,26.5,0.335,0.355,NA
1003,normal,ames,cc,2014,162.985,0,7.9,7.374,1099.362,134,203,262,2.552,578.388,203.805,1.994,1.814,1.797,901.509,2565.7,26.6,0.352,0.362,NA
1003,normal,ames,cc,2015,219.908,0,8.9,8.662,1349.665,141,206,263,4.505,721.333,286.542,1.993,1.87,1.865,1213.65,1095.7,9.1,0.375,0.332,NA
1003,normal,ames,cc,2016,212.869,0,8.6,8.281,1562.318,127,192,243,5.231,698.207,305.129,1.994,1.92,1.742,1398.065,1568.3,13.1,0.351,0.332,NA
1003,normal,ames,sc,2001,211.809,0,7.5,7.337,1548.402,134,199,248,4.802,726.765,306.485,1.991,1.949,1.743,1630.978,485.8,5.2,0.347,0.337,NA
1003,normal,ames,sc,2003,226.563,0,7.8,7.256,1516.922,126,198,253,4.081,807.309,374.681,1.983,1.938,1.752,1546.62,805,8.3,0.349,0.315,NA
1003,normal,ames,sc,2005,253.974,0,8,7.793,1566.629,131,199,253,5.308,872.795,393.914,1.978,1.964,1.771,1702.281,328.6,5.5,0.347,0.31,NA
1003,normal,ames,sc,2007,220.991,0,8,7.837,1576.593,139,203,256,5.215,824.782,335.684,1.984,1.962,1.805,1637.358,323.9,4.4,0.349,0.347,NA
1003,normal,ames,sc,2009,238.701,0,8,7.908,1517.434,133,203,266,4.701,752.271,281.593,1.994,1.958,1.869,1583.727,341.9,4.2,0.357,0.329,NA
1003,normal,ames,sc,2011,213.54,0,7.9,7.738,1514.228,139,204,260,4.51,680.146,258.662,1.994,1.941,1.776,1577.081,847.4,9.3,0.349,0.323,NA
1003,normal,ames,sc,2013,150.266,0,7.9,7.542,1563.346,150,211,265,4.826,825.536,349.99,1.903,1.98,1.865,1721.024,412.3,4.5,0.335,0.315,NA
1003,normal,ames,sc,2015,222.898,0,8.9,8.777,1513.953,141,206,263,4.743,806.468,291.973,1.993,1.891,1.868,1328.388,247.3,3,0.375,0.304,NA
1003,normal,ames,sc,2002,235.966,0,7.9,7.812,1528.033,130,195,248,4.916,810.472,344.707,1.986,1.961,1.789,1669.542,469.1,5.5,0.339,0.335,NA
1003,normal,ames,sc,2004,260.741,0,8,7.989,1508.102,127,201,266,4.41,748,296.189,1.994,1.94,1.866,1472.748,425.9,5.1,0.346,0.34,NA
1003,normal,ames,sc,2006,232.951,0,8,8,1603.349,138,201,256,4.825,778.363,340.888,1.954,1.983,1.783,1805.256,431.5,5.2,0.355,0.334,NA
1003,normal,ames,sc,2008,227.159,0,7.4,7.172,1351.902,142,211,280,4.175,790.219,316.588,1.994,1.863,1.81,1208.028,471.9,5.1,0.355,0.351,NA
1003,normal,ames,sc,2010,172.347,0,8,7.77,1056.485,127,195,243,2.965,722.35,239.699,1.994,1.801,1.748,944.449,431.9,5.7,0.349,0.328,NA
