site,year,yield_kgha,rot2
dsup,2000,3730.2013318415807,sc
dsup,2001,9320.464667204906,cc
dsup,2001,9587.778967112223,sc
dsup,2002,4990.39731711893,cc
dsup,2002,5278.396652138123,sc
dsup,2003,5176.562633125811,cc
dsup,2003,6122.240007599513,sc
dsup,2004,7424.336448616301,cc
dsup,2004,7967.981602197649,sc
dsup,2005,6075.566082218869,cc
dsup,2005,7265.220793909564,sc
dsup,2006,9714.010719846232,cc
dsup,2006,8730.675973758604,sc
dsup,2007,3794.3779792399646,cc
dsup,2007,5253.998918416422,sc
dsup,2008,8859.02926855537,cc
dsup,2008,10165.368793697673,sc
monm,1999,9690.143371640223,cc
monm,1999,10024.286246524367,sc
monm,2000,10105.965615940491,cc
monm,2000,10617.787638580492,sc
monm,2001,10047.092823699,cc
monm,2001,11537.476122785427,sc
monm,2002,7316.137803415721,cc
monm,2002,10927.002394227251,sc
monm,2003,4479.636065510307,cc
monm,2003,9580.883955408262,sc
monm,2004,11588.923517807272,cc
monm,2004,11591.045059870028,sc
monm,2005,7801.970935786955,cc
monm,2005,10632.638433019787,sc
monm,2006,10817.212592479602,cc
monm,2006,11070.206483463311,sc
monm,2007,13831.393478140872,cc
monm,2007,14139.547462756247,sc
monm,2008,13729.559459128563,cc
monm,2008,14280.630009929557,sc
orrc,1999,5075.789385144878,cc
orrc,1999,4540.100014298867,sc
orrc,2000,7446.612640275245,cc
orrc,2000,7616.336005295761,sc
orrc,2001,6548.139576697874,cc
orrc,2001,6893.4205474114915,sc
orrc,2002,7074.282008261483,cc
orrc,2002,7280.07158834886,sc
orrc,2003,10061.413232622606,cc
orrc,2003,9950.562659843581,sc
orrc,2004,10163.777637150606,cc
orrc,2004,9772.883512087725,sc
orrc,2005,5010.551966715117,cc
orrc,2005,5829.997588454808,sc
orrc,2006,6059.124131232506,cc
orrc,2006,5761.577856930911,sc
orrc,2007,7183.011038977751,cc
orrc,2007,7393.043703190642,sc
orrc,2008,9540.0442707002,cc
orrc,2008,9465.259912988035,sc
urba,1999,11180.526670726651,cc
urba,1999,11785.166158612246,sc
urba,2000,6326.4384311398235,cc
urba,2000,9351.757412630564,sc
urba,2001,8973.062154428533,cc
urba,2001,9084.443112723246,sc
urba,2002,8262.345563405112,cc
urba,2002,9109.901617476324,sc
urba,2003,10863.356132344556,cc
urba,2003,10759.40057126949,sc
urba,2004,11355.553890904059,cc
urba,2004,11622.868190811376,sc
urba,2005,6371.5211999733965,cc
urba,2005,7801.75878158068,sc
urba,2006,9836.529773970418,cc
urba,2006,9121.039713305796,sc
urba,2007,11666.359803097883,cc
urba,2007,11338.581554402006,sc
urba,2008,9840.242472580243,cc
urba,2008,10356.307579345756,sc
ames,1999,11249.476787766233,cc
ames,2000,8157.329231298666,cc
ames,2000,8724.841733086023,sc
ames,2001,6847.277007546538,cc
ames,2001,9011.24991155815,sc
ames,2002,9509.812296305921,cc
ames,2002,10878.206926783849,sc
ames,2003,7929.263459552344,cc
ames,2003,10119.755639348408,sc
ames,2004,12335.706323897553,cc
ames,2004,13075.594118283876,sc
ames,2005,8563.604536316532,cc
ames,2005,10634.229589566856,sc
ames,2006,9749.016163881714,cc
ames,2006,11573.011952336597,sc
ames,2007,10224.771971454855,cc
ames,2007,10535.04749813299,sc
ames,2008,12045.585446815603,cc
ames,2008,13141.892307745014,sc
ames,2009,10921.168153554669,cc
ames,2009,11680.149826505798,sc
ames,2010,10576.417568356743,cc
ames,2010,11367.222372249218,sc
ames,2011,11311.531893101863,cc
ames,2011,12521.871639904433,sc
ames,2012,10150.517999258376,cc
ames,2012,10470.870850734605,sc
ames,2013,8166.3457850653795,cc
ames,2013,8379.560762372408,sc
ames,2014,10426.31846741672,cc
ames,2014,11001.256366423724,sc
ames,2015,10702.64932109075,cc
ames,2015,11946.403355381739,sc
ames,2016,11276.526449066381,cc
ames,2016,11647.265924533074,sc
craw,1999,8608.156919634419,sc
craw,2000,8772.576429498045,cc
craw,2000,9037.769187342605,sc
craw,2001,5500.097797696175,cc
craw,2001,6385.841608897004,sc
craw,2002,5012.1431232621835,cc
craw,2002,8687.714746987785,sc
craw,2003,5134.131791870681,cc
craw,2003,9112.02315953908,sc
craw,2004,10443.82118943446,cc
craw,2004,10483.600103111145,sc
craw,2005,5863.411875943221,cc
craw,2005,8738.63175649394,sc
craw,2006,11459.509451979127,cc
craw,2006,12258.80042412263,sc
craw,2007,10119.755639348408,cc
craw,2007,11315.774977227375,sc
craw,2008,9086.034269270314,cc
craw,2008,11937.386801615023,sc
craw,2009,9961.17037015736,cc
craw,2009,12187.1983795046,sc
craw,2010,7955.252349821111,cc
craw,2010,8828.797294161091,sc
craw,2011,8490.411335151433,cc
craw,2011,10395.556107506754,sc
craw,2012,6784.161131179532,cc
craw,2012,8414.566206407888,sc
craw,2013,4565.558519051945,cc
craw,2013,7659.297232066582,sc
craw,2014,9526.784632807972,cc
craw,2014,10694.693538355414,sc
craw,2015,9151.802073215767,cc
craw,2015,10677.721201853365,sc
craw,2016,12132.03828587293,cc
craw,2016,12432.236487752973,sc
kana,2005,7541.021262067908,sc
kana,2006,9256.81840532221,cc
kana,2006,11119.00195090671,sc
kana,2007,5095.413649225376,cc
kana,2007,9307.735414828367,sc
kana,2008,6760.824168489212,cc
kana,2008,9849.789411862646,sc
kana,2009,7136.867499112798,cc
kana,2009,9148.089374605941,sc
kana,2010,8152.025376141774,cc
kana,2010,9242.497996398604,sc
kana,2011,7937.74962780337,cc
kana,2011,8861.150810618126,sc
kana,2012,5941.378546749523,cc
kana,2012,7522.457769018788,sc
kana,2013,9698.629539891248,cc
kana,2013,10818.27336351098,sc
kana,2014,7941.992711928882,cc
kana,2014,10052.396678855892,sc
kana,2015,8147.782292016262,cc
kana,2015,9071.18347483102,sc
kana,2016,12254.557339997118,cc
kana,2016,12964.743545504847,sc
lewi,2001,6539.6534084468485,sc
lewi,2002,2742.09311611275,cc
lewi,2002,3771.041016549643,sc
lewi,2003,5240.208895008505,cc
lewi,2003,7706.501542962914,sc
lewi,2004,13177.958522811876,cc
lewi,2004,12995.505905414819,sc
lewi,2005,9425.48099931135,cc
lewi,2005,10111.269471097383,sc
lewi,2006,12176.060283675128,cc
lewi,2006,12902.688440169222,sc
lewi,2007,9374.563989805194,cc
lewi,2007,9767.049271415146,sc
lewi,2008,10986.93595750012,cc
lewi,2008,12282.667772328643,sc
lewi,2009,12959.970075863645,cc
lewi,2009,14352.762440063276,sc
lewi,2010,10884.04116745643,cc
lewi,2010,11666.890188613572,sc
lewi,2011,7768.0262627828515,cc
lewi,2011,8614.521545822687,sc
lewi,2012,4396.895925062805,cc
lewi,2012,7533.06547933257,sc
lewi,2013,9873.12637455297,cc
lewi,2013,7938.810398834748,sc
lewi,2014,8517.460996451578,cc
lewi,2014,9792.507776168222,sc
lewi,2015,8435.781627035454,cc
lewi,2015,9943.66764813962,sc
lewi,2016,10913.212370819332,cc
lewi,2016,11806.9119647555,sc
mcna,1999,8459.648975241464,sc
mcna,2000,8014.125142062602,cc
mcna,2000,8295.229465377835,sc
mcna,2001,6417.664739838351,cc
mcna,2001,8014.125142062602,sc
mcna,2002,9668.927951012658,cc
mcna,2002,10750.914403018462,sc
mcna,2003,4598.442421024671,cc
mcna,2003,5961.533196345709,sc
mcna,2004,13564.609563749244,cc
mcna,2004,13815.481912670197,sc
mcna,2005,8952.907504832347,cc
mcna,2005,11340.703096464764,sc
mcna,2006,8028.44555098621,cc
mcna,2006,7700.667302290332,sc
mcna,2007,8860.09003958675,cc
mcna,2007,10910.030057725198,sc
mcna,2008,7019.1219146298135,cc
mcna,2008,10060.882847106916,sc
mcna,2009,4264.829931656213,cc
mcna,2009,5794.461758903636,sc
mcna,2010,6300.979926386746,cc
mcna,2010,8524.356008155537,sc
mcna,2011,9199.006384112095,cc
mcna,2011,10323.423677373032,sc
mcna,2012,2362.3370868793404,cc
mcna,2012,3894.6208417052085,sc
mcna,2013,7759.009709016135,cc
mcna,2013,8845.769630663142,sc
mcna,2014,11250.007173281925,cc
mcna,2014,11960.193378789654,sc
mcna,2015,6958.127580325565,cc
mcna,2015,11663.707875519438,sc
mcna,2016,11705.608331258874,cc
mcna,2016,11956.480680179831,sc
nash,2005,9171.956722811954,cc
nash,2005,10061.943618138295,sc
nash,2006,8356.223799682086,cc
nash,2006,9315.160812048012,sc
nash,2007,9956.927286031849,cc
nash,2007,11676.967513411664,sc
nash,2008,8614.521545822687,cc
nash,2008,11391.62010597092,sc
nash,2009,8944.951722097008,cc
nash,2009,10774.251365708782,sc
nash,2010,9869.944061458835,cc
nash,2010,10453.368128716866,sc
nash,2011,12249.253484840225,cc
nash,2011,12541.49590398493,sc
nash,2012,7301.817394492114,cc
nash,2012,9091.338124427204,sc
nash,2013,9635.513663524242,cc
nash,2013,10563.157930464515,sc
nash,2014,9633.922506977175,cc
nash,2014,10637.94228817668,sc
nash,2015,12114.0051783395,cc
nash,2015,12024.90041170373,sc
nash,2016,11922.005621660037,cc
nash,2016,12253.496568965737,sc
suth,2000,7404.181799020114,cc
suth,2001,6266.504867866953,cc
suth,2001,7515.56275731483,sc
suth,2002,5043.966254203531,cc
suth,2002,6375.233898583223,sc
suth,2003,7298.104695882291,cc
suth,2003,9509.812296305921,sc
suth,2004,3432.6550575399842,cc
suth,2004,3713.2289953395293,sc
suth,2005,9769.1708134779,cc
suth,2005,10557.323689791934,sc
suth,2006,7686.877278882416,cc
suth,2006,9040.951500436739,sc
suth,2007,9026.631091513133,cc
suth,2007,10426.848852932411,sc
suth,2008,9841.303243611621,cc
suth,2008,12308.12627708172,sc
suth,2009,9266.365344604616,cc
suth,2009,11570.360024758154,sc
suth,2010,11397.454346643499,cc
suth,2010,11617.033950138795,sc
suth,2011,8492.532877214187,cc
suth,2011,9464.729527472346,sc
suth,2012,9748.485778366026,cc
suth,2012,12638.02606784035,sc
suth,2013,11444.128272024142,cc
suth,2013,12638.02606784035,sc
suth,2014,10262.959728584472,cc
suth,2014,10987.46634301581,sc
suth,2015,11253.719871891746,cc
suth,2015,11913.519453409013,sc
suth,2016,12637.495682324663,cc
suth,2016,13463.83631576831,sc
