rot,Date,day,depth_cm,value,dul_mm,year,site
cc,1999-01-09,9,22 cm depth,0.361,0.317,1999,deka
cc,1999-01-09,9,45 cm depth,0.376,0.32,1999,deka
cc,1999-01-09,9,75 cm depth,0.401,0.317,1999,deka
cc,1999-01-09,9,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-10,10,7 cm depth,0.353,0.317,1999,deka
cc,1999-01-10,10,22 cm depth,0.363,0.317,1999,deka
cc,1999-01-10,10,45 cm depth,0.377,0.32,1999,deka
cc,1999-01-10,10,75 cm depth,0.402,0.317,1999,deka
cc,1999-01-10,10,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-11,11,7 cm depth,0.352,0.317,1999,deka
cc,1999-01-11,11,22 cm depth,0.362,0.317,1999,deka
cc,1999-01-11,11,45 cm depth,0.377,0.32,1999,deka
cc,1999-01-11,11,75 cm depth,0.402,0.317,1999,deka
cc,1999-01-11,11,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-12,12,7 cm depth,0.351,0.317,1999,deka
cc,1999-01-12,12,22 cm depth,0.362,0.317,1999,deka
cc,1999-01-12,12,45 cm depth,0.378,0.32,1999,deka
cc,1999-01-12,12,75 cm depth,0.403,0.317,1999,deka
cc,1999-01-12,12,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-13,13,7 cm depth,0.35,0.317,1999,deka
cc,1999-01-13,13,22 cm depth,0.362,0.317,1999,deka
cc,1999-01-13,13,45 cm depth,0.378,0.32,1999,deka
cc,1999-01-13,13,75 cm depth,0.403,0.317,1999,deka
cc,1999-01-13,13,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-14,14,7 cm depth,0.35,0.317,1999,deka
cc,1999-01-14,14,22 cm depth,0.362,0.317,1999,deka
cc,1999-01-14,14,45 cm depth,0.378,0.32,1999,deka
cc,1999-01-14,14,75 cm depth,0.403,0.317,1999,deka
cc,1999-01-14,14,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-15,15,7 cm depth,0.352,0.317,1999,deka
cc,1999-01-15,15,22 cm depth,0.363,0.317,1999,deka
cc,1999-01-15,15,45 cm depth,0.378,0.32,1999,deka
cc,1999-01-15,15,75 cm depth,0.403,0.317,1999,deka
cc,1999-01-15,15,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-16,16,7 cm depth,0.351,0.317,1999,deka
cc,1999-01-16,16,22 cm depth,0.362,0.317,1999,deka
cc,1999-01-16,16,45 cm depth,0.378,0.32,1999,deka
cc,1999-01-16,16,75 cm depth,0.403,0.317,1999,deka
cc,1999-01-16,16,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-17,17,7 cm depth,0.35,0.317,1999,deka
cc,1999-01-17,17,22 cm depth,0.362,0.317,1999,deka
cc,1999-01-17,17,45 cm depth,0.379,0.32,1999,deka
cc,1999-01-17,17,75 cm depth,0.404,0.317,1999,deka
cc,1999-01-17,17,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-18,18,7 cm depth,0.364,0.317,1999,deka
cc,1999-01-18,18,22 cm depth,0.369,0.317,1999,deka
cc,1999-01-18,18,45 cm depth,0.382,0.32,1999,deka
cc,1999-01-18,18,75 cm depth,0.406,0.317,1999,deka
cc,1999-01-18,18,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-19,19,7 cm depth,0.359,0.317,1999,deka
cc,1999-01-19,19,22 cm depth,0.368,0.317,1999,deka
cc,1999-01-19,19,45 cm depth,0.384,0.32,1999,deka
cc,1999-01-19,19,75 cm depth,0.408,0.317,1999,deka
cc,1999-01-19,19,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-20,20,7 cm depth,0.356,0.317,1999,deka
cc,1999-01-20,20,22 cm depth,0.367,0.317,1999,deka
cc,1999-01-20,20,45 cm depth,0.385,0.32,1999,deka
cc,1999-01-20,20,75 cm depth,0.409,0.317,1999,deka
cc,1999-01-20,20,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-21,21,7 cm depth,0.355,0.317,1999,deka
cc,1999-01-21,21,22 cm depth,0.367,0.317,1999,deka
cc,1999-01-21,21,45 cm depth,0.385,0.32,1999,deka
cc,1999-01-21,21,75 cm depth,0.409,0.317,1999,deka
cc,1999-01-21,21,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-22,22,7 cm depth,0.39,0.317,1999,deka
cc,1999-01-22,22,22 cm depth,0.389,0.317,1999,deka
cc,1999-01-22,22,45 cm depth,0.398,0.32,1999,deka
cc,1999-01-22,22,75 cm depth,0.418,0.317,1999,deka
cc,1999-01-22,22,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-23,23,7 cm depth,0.383,0.317,1999,deka
cc,1999-01-23,23,22 cm depth,0.393,0.317,1999,deka
cc,1999-01-23,23,45 cm depth,0.424,0.32,1999,deka
cc,1999-01-23,23,75 cm depth,0.42,0.317,1999,deka
cc,1999-01-23,23,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-24,24,7 cm depth,0.397,0.317,1999,deka
cc,1999-01-24,24,22 cm depth,0.426,0.317,1999,deka
cc,1999-01-24,24,45 cm depth,0.446,0.32,1999,deka
cc,1999-01-24,24,75 cm depth,0.42,0.317,1999,deka
cc,1999-01-24,24,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-25,25,7 cm depth,0.392,0.317,1999,deka
cc,1999-01-25,25,22 cm depth,0.427,0.317,1999,deka
cc,1999-01-25,25,45 cm depth,0.446,0.32,1999,deka
cc,1999-01-25,25,75 cm depth,0.42,0.317,1999,deka
cc,1999-01-25,25,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-26,26,7 cm depth,0.391,0.317,1999,deka
cc,1999-01-26,26,22 cm depth,0.425,0.317,1999,deka
cc,1999-01-26,26,45 cm depth,0.446,0.32,1999,deka
cc,1999-01-26,26,75 cm depth,0.42,0.317,1999,deka
cc,1999-01-26,26,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-27,27,7 cm depth,0.389,0.317,1999,deka
cc,1999-01-27,27,22 cm depth,0.422,0.317,1999,deka
cc,1999-01-27,27,45 cm depth,0.446,0.32,1999,deka
cc,1999-01-27,27,75 cm depth,0.42,0.317,1999,deka
cc,1999-01-27,27,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-28,28,7 cm depth,0.387,0.317,1999,deka
cc,1999-01-28,28,22 cm depth,0.418,0.317,1999,deka
cc,1999-01-28,28,45 cm depth,0.446,0.32,1999,deka
cc,1999-01-28,28,75 cm depth,0.42,0.317,1999,deka
cc,1999-01-28,28,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-29,29,7 cm depth,0.385,0.317,1999,deka
cc,1999-01-29,29,22 cm depth,0.415,0.317,1999,deka
cc,1999-01-29,29,45 cm depth,0.446,0.32,1999,deka
cc,1999-01-29,29,75 cm depth,0.42,0.317,1999,deka
cc,1999-01-29,29,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-30,30,7 cm depth,0.384,0.317,1999,deka
cc,1999-01-30,30,22 cm depth,0.413,0.317,1999,deka
cc,1999-01-30,30,45 cm depth,0.446,0.32,1999,deka
cc,1999-01-30,30,75 cm depth,0.42,0.317,1999,deka
cc,1999-01-30,30,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-31,31,7 cm depth,0.382,0.317,1999,deka
cc,1999-01-31,31,22 cm depth,0.41,0.317,1999,deka
cc,1999-01-31,31,45 cm depth,0.446,0.32,1999,deka
cc,1999-01-31,31,75 cm depth,0.42,0.317,1999,deka
cc,1999-01-31,31,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-01,32,7 cm depth,0.383,0.317,1999,deka
cc,1999-02-01,32,22 cm depth,0.41,0.317,1999,deka
cc,1999-02-01,32,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-01,32,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-01,32,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-02,33,7 cm depth,0.383,0.317,1999,deka
cc,1999-02-02,33,22 cm depth,0.411,0.317,1999,deka
cc,1999-02-02,33,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-02,33,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-02,33,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-03,34,7 cm depth,0.386,0.317,1999,deka
cc,1999-02-03,34,22 cm depth,0.416,0.317,1999,deka
cc,1999-02-03,34,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-03,34,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-03,34,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-04,35,7 cm depth,0.384,0.317,1999,deka
cc,1999-02-04,35,22 cm depth,0.413,0.317,1999,deka
cc,1999-02-04,35,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-04,35,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-04,35,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-05,36,7 cm depth,0.382,0.317,1999,deka
cc,1999-02-05,36,22 cm depth,0.41,0.317,1999,deka
cc,1999-02-05,36,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-05,36,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-05,36,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-06,37,7 cm depth,0.389,0.317,1999,deka
cc,1999-02-06,37,22 cm depth,0.419,0.317,1999,deka
cc,1999-02-06,37,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-06,37,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-06,37,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-07,38,7 cm depth,0.386,0.317,1999,deka
cc,1999-02-07,38,22 cm depth,0.416,0.317,1999,deka
cc,1999-02-07,38,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-07,38,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-07,38,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-08,39,7 cm depth,0.384,0.317,1999,deka
cc,1999-02-08,39,22 cm depth,0.413,0.317,1999,deka
cc,1999-02-08,39,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-08,39,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-08,39,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-09,40,7 cm depth,0.384,0.317,1999,deka
cc,1999-02-09,40,22 cm depth,0.413,0.317,1999,deka
cc,1999-02-09,40,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-09,40,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-09,40,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-10,41,7 cm depth,0.381,0.317,1999,deka
cc,1999-02-10,41,22 cm depth,0.409,0.317,1999,deka
cc,1999-02-10,41,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-10,41,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-10,41,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-11,42,7 cm depth,0.379,0.317,1999,deka
cc,1999-02-11,42,22 cm depth,0.405,0.317,1999,deka
cc,1999-02-11,42,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-11,42,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-11,42,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-12,43,7 cm depth,0.412,0.317,1999,deka
cc,1999-02-12,43,22 cm depth,0.442,0.317,1999,deka
cc,1999-02-12,43,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-12,43,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-12,43,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-13,44,7 cm depth,0.408,0.317,1999,deka
cc,1999-02-13,44,22 cm depth,0.44,0.317,1999,deka
cc,1999-02-13,44,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-13,44,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-13,44,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-14,45,7 cm depth,0.403,0.317,1999,deka
cc,1999-02-14,45,22 cm depth,0.438,0.317,1999,deka
cc,1999-02-14,45,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-14,45,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-14,45,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-15,46,7 cm depth,0.397,0.317,1999,deka
cc,1999-02-15,46,22 cm depth,0.436,0.317,1999,deka
cc,1999-02-15,46,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-15,46,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-15,46,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-16,47,7 cm depth,0.391,0.317,1999,deka
cc,1999-02-16,47,22 cm depth,0.433,0.317,1999,deka
cc,1999-02-16,47,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-16,47,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-16,47,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-17,48,7 cm depth,0.387,0.317,1999,deka
cc,1999-02-17,48,22 cm depth,0.431,0.317,1999,deka
cc,1999-02-17,48,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-17,48,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-17,48,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-18,49,7 cm depth,0.384,0.317,1999,deka
cc,1999-02-18,49,22 cm depth,0.43,0.317,1999,deka
cc,1999-02-18,49,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-18,49,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-18,49,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-19,50,7 cm depth,0.381,0.317,1999,deka
cc,1999-02-19,50,22 cm depth,0.428,0.317,1999,deka
cc,1999-02-19,50,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-19,50,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-19,50,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-20,51,7 cm depth,0.387,0.317,1999,deka
cc,1999-02-20,51,22 cm depth,0.418,0.317,1999,deka
cc,1999-02-20,51,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-20,51,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-20,51,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-21,52,7 cm depth,0.386,0.317,1999,deka
cc,1999-02-21,52,22 cm depth,0.416,0.317,1999,deka
cc,1999-02-21,52,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-21,52,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-21,52,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-22,53,7 cm depth,0.384,0.317,1999,deka
cc,1999-02-22,53,22 cm depth,0.413,0.317,1999,deka
cc,1999-02-22,53,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-22,53,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-22,53,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-23,54,7 cm depth,0.382,0.317,1999,deka
cc,1999-02-23,54,22 cm depth,0.41,0.317,1999,deka
cc,1999-02-23,54,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-23,54,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-23,54,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-24,55,7 cm depth,0.38,0.317,1999,deka
cc,1999-02-24,55,22 cm depth,0.407,0.317,1999,deka
cc,1999-02-24,55,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-24,55,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-24,55,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-25,56,7 cm depth,0.379,0.317,1999,deka
cc,1999-02-25,56,22 cm depth,0.405,0.317,1999,deka
cc,1999-02-25,56,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-25,56,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-25,56,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-26,57,7 cm depth,0.377,0.317,1999,deka
cc,1999-02-26,57,22 cm depth,0.403,0.317,1999,deka
cc,1999-02-26,57,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-26,57,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-26,57,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-27,58,7 cm depth,0.389,0.317,1999,deka
cc,1999-02-27,58,22 cm depth,0.419,0.317,1999,deka
cc,1999-02-27,58,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-27,58,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-27,58,105 cm depth,0.323,0.311,1999,deka
cc,1999-02-28,59,7 cm depth,0.398,0.317,1999,deka
cc,1999-02-28,59,22 cm depth,0.435,0.317,1999,deka
cc,1999-02-28,59,45 cm depth,0.446,0.32,1999,deka
cc,1999-02-28,59,75 cm depth,0.42,0.317,1999,deka
cc,1999-02-28,59,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-01,60,7 cm depth,0.396,0.317,1999,deka
cc,1999-03-01,60,22 cm depth,0.435,0.317,1999,deka
cc,1999-03-01,60,45 cm depth,0.446,0.32,1999,deka
cc,1999-03-01,60,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-01,60,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-02,61,7 cm depth,0.39,0.317,1999,deka
cc,1999-03-02,61,22 cm depth,0.433,0.317,1999,deka
cc,1999-03-02,61,45 cm depth,0.446,0.32,1999,deka
cc,1999-03-02,61,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-02,61,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-03,62,7 cm depth,0.398,0.317,1999,deka
cc,1999-03-03,62,22 cm depth,0.436,0.317,1999,deka
cc,1999-03-03,62,45 cm depth,0.446,0.32,1999,deka
cc,1999-03-03,62,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-03,62,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-04,63,7 cm depth,0.394,0.317,1999,deka
cc,1999-03-04,63,22 cm depth,0.434,0.317,1999,deka
cc,1999-03-04,63,45 cm depth,0.446,0.32,1999,deka
cc,1999-03-04,63,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-04,63,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-05,64,7 cm depth,0.39,0.317,1999,deka
cc,1999-03-05,64,22 cm depth,0.432,0.317,1999,deka
cc,1999-03-05,64,45 cm depth,0.446,0.32,1999,deka
cc,1999-03-05,64,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-05,64,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-06,65,7 cm depth,0.385,0.317,1999,deka
cc,1999-03-06,65,22 cm depth,0.43,0.317,1999,deka
cc,1999-03-06,65,45 cm depth,0.446,0.32,1999,deka
cc,1999-03-06,65,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-06,65,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-07,66,7 cm depth,0.389,0.317,1999,deka
cc,1999-03-07,66,22 cm depth,0.432,0.317,1999,deka
cc,1999-03-07,66,45 cm depth,0.446,0.32,1999,deka
cc,1999-03-07,66,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-07,66,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-08,67,7 cm depth,0.386,0.317,1999,deka
cc,1999-03-08,67,22 cm depth,0.431,0.317,1999,deka
cc,1999-03-08,67,45 cm depth,0.446,0.32,1999,deka
cc,1999-03-08,67,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-08,67,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-09,68,7 cm depth,0.382,0.317,1999,deka
cc,1999-03-09,68,22 cm depth,0.429,0.317,1999,deka
cc,1999-03-09,68,45 cm depth,0.446,0.32,1999,deka
cc,1999-03-09,68,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-09,68,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-10,69,7 cm depth,0.382,0.317,1999,deka
cc,1999-03-10,69,22 cm depth,0.429,0.317,1999,deka
cc,1999-03-10,69,45 cm depth,0.446,0.32,1999,deka
cc,1999-03-10,69,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-10,69,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-11,70,7 cm depth,0.386,0.317,1999,deka
cc,1999-03-11,70,22 cm depth,0.42,0.317,1999,deka
cc,1999-03-11,70,45 cm depth,0.446,0.32,1999,deka
cc,1999-03-11,70,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-11,70,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-12,71,7 cm depth,0.386,0.317,1999,deka
cc,1999-03-12,71,22 cm depth,0.416,0.317,1999,deka
cc,1999-03-12,71,45 cm depth,0.446,0.32,1999,deka
cc,1999-03-12,71,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-12,71,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-13,72,7 cm depth,0.383,0.317,1999,deka
cc,1999-03-13,72,22 cm depth,0.412,0.317,1999,deka
cc,1999-03-13,72,45 cm depth,0.446,0.32,1999,deka
cc,1999-03-13,72,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-13,72,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-14,73,7 cm depth,0.381,0.317,1999,deka
cc,1999-03-14,73,22 cm depth,0.409,0.317,1999,deka
cc,1999-03-14,73,45 cm depth,0.446,0.32,1999,deka
cc,1999-03-14,73,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-14,73,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-15,74,7 cm depth,0.378,0.317,1999,deka
cc,1999-03-15,74,22 cm depth,0.405,0.317,1999,deka
cc,1999-03-15,74,45 cm depth,0.446,0.32,1999,deka
cc,1999-03-15,74,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-15,74,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-16,75,7 cm depth,0.376,0.317,1999,deka
cc,1999-03-16,75,22 cm depth,0.402,0.317,1999,deka
cc,1999-03-16,75,45 cm depth,0.445,0.32,1999,deka
cc,1999-03-16,75,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-16,75,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-17,76,7 cm depth,0.375,0.317,1999,deka
cc,1999-03-17,76,22 cm depth,0.401,0.317,1999,deka
cc,1999-03-17,76,45 cm depth,0.439,0.32,1999,deka
cc,1999-03-17,76,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-17,76,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-18,77,7 cm depth,0.373,0.317,1999,deka
cc,1999-03-18,77,22 cm depth,0.398,0.317,1999,deka
cc,1999-03-18,77,45 cm depth,0.436,0.32,1999,deka
cc,1999-03-18,77,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-18,77,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-19,78,7 cm depth,0.371,0.317,1999,deka
cc,1999-03-19,78,22 cm depth,0.395,0.317,1999,deka
cc,1999-03-19,78,45 cm depth,0.434,0.32,1999,deka
cc,1999-03-19,78,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-19,78,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-20,79,7 cm depth,0.368,0.317,1999,deka
cc,1999-03-20,79,22 cm depth,0.392,0.317,1999,deka
cc,1999-03-20,79,45 cm depth,0.432,0.32,1999,deka
cc,1999-03-20,79,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-20,79,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-21,80,7 cm depth,0.366,0.317,1999,deka
cc,1999-03-21,80,22 cm depth,0.388,0.317,1999,deka
cc,1999-03-21,80,45 cm depth,0.429,0.32,1999,deka
cc,1999-03-21,80,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-21,80,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-22,81,7 cm depth,0.364,0.317,1999,deka
cc,1999-03-22,81,22 cm depth,0.385,0.317,1999,deka
cc,1999-03-22,81,45 cm depth,0.427,0.32,1999,deka
cc,1999-03-22,81,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-22,81,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-23,82,7 cm depth,0.362,0.317,1999,deka
cc,1999-03-23,82,22 cm depth,0.382,0.317,1999,deka
cc,1999-03-23,82,45 cm depth,0.425,0.32,1999,deka
cc,1999-03-23,82,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-23,82,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-24,83,7 cm depth,0.359,0.317,1999,deka
cc,1999-03-24,83,22 cm depth,0.379,0.317,1999,deka
cc,1999-03-24,83,45 cm depth,0.422,0.32,1999,deka
cc,1999-03-24,83,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-24,83,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-25,84,7 cm depth,0.357,0.317,1999,deka
cc,1999-03-25,84,22 cm depth,0.377,0.317,1999,deka
cc,1999-03-25,84,45 cm depth,0.42,0.32,1999,deka
cc,1999-03-25,84,75 cm depth,0.42,0.317,1999,deka
cc,1999-03-25,84,105 cm depth,0.323,0.311,1999,deka
cc,1999-03-26,85,7 cm depth,0.357,0.317,1999,deka
cc,1999-03-26,85,22 cm depth,0.375,0.317,1999,deka
