soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
40,60,90,200,200,200,Wet,184628985,114742109
0,0,0,40,60,90,Moist,184628985,114742110
40,50,60,200,200,200,Wet,184628986,114742111
0,0,0,40,50,60,Moist,184628986,114742112
0,0,0,5,10,30,Moist,184628987,114742113
5,10,30,200,200,200,Wet,184628987,114742114
0,0,15,200,200,200,Wet,184628988,114742115
0,0,0,0,0,15,Moist,184628988,114742116
0,0,0,5,10,15,Moist,184628989,114742117
5,10,15,200,200,200,Wet,184628989,114742118
15,20,30,200,200,200,Wet,184628990,114742119
0,0,0,15,20,30,Moist,184628990,114742120
40,50,60,200,200,200,Wet,184629303,114742709
0,0,0,40,50,60,Moist,184629303,114742710
30,40,50,200,200,200,Wet,184629304,114742711
0,0,0,30,40,50,Moist,184629304,114742712
0,0,0,30,40,50,Moist,184629305,114742713
30,40,50,200,200,200,Wet,184629305,114742714
0,0,0,20,30,40,Moist,184629306,114742715
20,30,40,200,200,200,Wet,184629306,114742716
0,0,0,40,60,90,Moist,184629307,114742717
40,60,90,200,200,200,Wet,184629307,114742718
0,0,0,20,30,60,Moist,184629308,114742719
20,30,60,200,200,200,Wet,184629308,114742720
0,0,0,30,40,60,Moist,184629309,114742721
30,40,60,200,200,200,Wet,184629309,114742722
0,0,0,10,15,30,Moist,184629310,114742723
10,15,30,200,200,200,Wet,184629310,114742724
0,0,0,5,10,30,Moist,184629311,114742725
5,10,30,200,200,200,Wet,184629311,114742726
0,0,15,200,200,200,Wet,184629312,114742727
0,0,0,0,0,15,Moist,184629312,114742728
0,0,0,5,10,15,Moist,184629313,114742729
5,10,15,200,200,200,Wet,184629313,114742730
15,20,30,200,200,200,Wet,184629314,114742731
0,0,0,15,20,30,Moist,184629314,114742732
0,0,0,40,60,90,Moist,184629315,114742733
40,60,90,200,200,200,Wet,184629315,114742734
0,0,20,200,200,200,Wet,184629316,114742735
0,0,0,0,0,20,Moist,184629316,114742736
0,0,0,60,80,90,Moist,184629317,114742737
60,80,90,200,200,200,Wet,184629317,114742738
40,70,100,200,200,200,Wet,184629318,114742739
0,0,0,40,70,100,Moist,184629318,114742740
0,0,0,50,70,100,Moist,184629319,114742741
50,70,100,200,200,200,Wet,184629319,114742742
0,0,0,15,25,30,Moist,184629320,114742743
15,25,30,200,200,200,Wet,184629320,114742744
0,0,0,60,90,110,Moist,184629321,114742745
60,90,110,200,200,200,Wet,184629321,114742746
0,0,0,15,20,50,Moist,184629322,114742747
15,20,50,200,200,200,Wet,184629322,114742748
70,100,120,200,200,200,Wet,184629323,114742749
0,0,0,70,100,120,Moist,184629323,114742750
30,40,60,200,200,200,Wet,184629324,114742751
0,0,0,30,40,60,Moist,184629324,114742752
60,80,100,200,200,200,Wet,184629325,114742753
0,0,0,60,80,100,Moist,184629325,114742754
0,0,0,30,40,60,Moist,184629326,114742755
30,40,60,200,200,200,Wet,184629326,114742756
0,0,0,60,80,90,Moist,184629327,114742757
60,80,90,200,200,200,Wet,184629327,114742758
0,0,0,0,0,20,Moist,184629328,114742759
0,0,20,200,200,200,Wet,184629328,114742760
40,60,90,200,200,200,Wet,184629329,114742761
0,0,0,40,60,90,Moist,184629329,114742762
0,0,0,60,80,100,Moist,184629330,114742763
60,80,100,200,200,200,Wet,184629330,114742764
60,90,110,200,200,200,Wet,184629331,114742765
0,0,0,60,90,110,Moist,184629331,114742766
30,40,60,200,200,200,Wet,184629332,114742767
0,0,0,30,40,60,Moist,184629332,114742768
0,0,0,40,70,100,Moist,184629333,114742769
40,70,100,200,200,200,Wet,184629333,114742770
15,25,30,200,200,200,Wet,184629334,114742771
0,0,0,15,25,30,Moist,184629334,114742772
0,0,0,30,40,60,Moist,184629335,114742773
30,40,60,200,200,200,Wet,184629335,114742774
0,0,0,70,100,120,Moist,184629336,114742775
70,100,120,200,200,200,Wet,184629336,114742776
0,0,0,50,70,100,Moist,184629337,114742777
50,70,100,200,200,200,Wet,184629337,114742778
0,0,0,15,20,50,Moist,184629338,114742779
15,20,50,200,200,200,Wet,184629338,114742780
