site,state,crop,year,rotation,nrate_max_kgha,obs_yield_kgha
nash,IA,corn,2008,cc,269.52,8665.837889999999
nash,IA,corn,2008,sc,269.52,11459.479510000001
nash,IA,corn,2009,cc,269.52,8998.236425000001
nash,IA,corn,2009,sc,269.52,10838.43313
nash,IA,corn,2010,cc,269.52,9928.738905
nash,IA,corn,2010,sc,269.52,10515.638405000002
nash,IA,corn,2011,cc,269.52,12322.221775
nash,IA,corn,2011,sc,269.52,12616.20507
nash,IA,corn,2012,cc,269.52,7345.314014999999
nash,IA,corn,2012,sc,269.52,9145.494845000001
nash,IA,corn,2013,cc,269.52,9692.912015
nash,IA,corn,2013,sc,269.52,10626.08222
nash,IA,corn,2014,cc,269.52,9691.31138
nash,IA,corn,2014,sc,269.52,10701.312064999998
nash,IA,corn,2015,cc,269.52,12186.167800000001
nash,IA,corn,2015,sc,269.52,12096.53224
nash,IA,corn,2016,cc,269.52,11993.02451
nash,IA,corn,2016,sc,269.52,12326.490135
deka,IL,corn,1999,cc,252.675,9385.05655
deka,IL,corn,1999,sc,252.675,10094.671400000001
deka,IL,corn,2000,cc,252.675,8943.28129
deka,IL,corn,2000,sc,252.675,8663.170165000001
deka,IL,corn,2001,cc,252.675,7494.706615
deka,IL,corn,2001,sc,252.675,9607.544815
deka,IL,corn,2002,cc,252.675,7998.373095000001
deka,IL,corn,2002,sc,252.675,9113.482145
deka,IL,corn,2003,cc,252.675,9632.087885
deka,IL,corn,2003,sc,252.675,11314.888815
deka,IL,corn,2004,cc,252.675,9964.48642
deka,IL,corn,2004,sc,252.675,11185.770925
deka,IL,corn,2005,cc,252.675,9303.957709999999
deka,IL,corn,2005,sc,252.675,9995.965575
deka,IL,corn,2006,cc,252.675,10891.254085
deka,IL,corn,2006,sc,252.675,11007.566895
deka,IL,corn,2007,cc,252.675,10408.929405
deka,IL,corn,2007,sc,252.675,10604.74042
deka,IL,corn,2008,cc,252.675,10821.35969
deka,IL,corn,2008,sc,252.675,11982.353610000002
monm,IL,corn,1999,cc,252.675,9747.86715
monm,IL,corn,1999,sc,252.675,10084.0005
monm,IL,corn,2000,cc,252.675,10166.16643
monm,IL,corn,2000,sc,252.675,10681.037355
monm,IL,corn,2001,cc,252.675,10106.942935000001
monm,IL,corn,2001,sc,252.675,11606.204385000001
monm,IL,corn,2002,cc,252.675,7359.71973
monm,IL,corn,2002,sc,252.675,10992.09409
monm,IL,corn,2003,cc,252.675,4506.32107
monm,IL,corn,2003,sc,252.675,9637.956879999998
monm,IL,corn,2004,cc,252.675,11657.95825
monm,IL,corn,2004,sc,252.675,11660.09243
monm,IL,corn,2005,cc,252.675,7848.4469500000005
monm,IL,corn,2005,sc,252.675,10695.976615000001
monm,IL,corn,2006,cc,252.675,10881.650275
monm,IL,corn,2006,sc,252.675,11136.15124
monm,IL,corn,2007,cc,252.675,13913.78651
monm,IL,corn,2007,sc,252.675,14223.776155
monm,IL,corn,2008,cc,252.675,13811.345870000001
monm,IL,corn,2008,sc,252.675,14365.699125000001
dslo,IL,corn,1999,cc,252.675,8979.56235
dslo,IL,corn,1999,sc,252.675,8259.276600000001
dslo,IL,corn,2000,cc,252.675,6366.792485
dslo,IL,corn,2000,sc,252.675,7489.904709999999
dslo,IL,corn,2001,cc,252.675,7580.607360000002
dslo,IL,corn,2001,sc,252.675,8772.54689
dslo,IL,corn,2002,cc,252.675,7010.247754999999
dslo,IL,corn,2002,sc,252.675,7104.685219999999
dslo,IL,corn,2003,cc,252.675,9206.318975000002
dslo,IL,corn,2003,sc,252.675,10395.057235000002
dslo,IL,corn,2004,cc,252.675,9046.78902
dslo,IL,corn,2004,sc,252.675,10367.312895
dslo,IL,corn,2005,cc,252.675,11894.85223
dslo,IL,corn,2005,sc,252.675,11893.251595
dslo,IL,corn,2006,cc,252.675,10180.572145
dslo,IL,corn,2006,sc,252.675,9947.41298
dslo,IL,corn,2007,cc,252.675,9329.034325
dslo,IL,corn,2007,sc,252.675,10367.84644
dslo,IL,corn,2008,cc,252.675,12747.990685
dslo,IL,corn,2008,sc,252.675,13177.49441
