set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,TTsum,till
1102,nash_CS_270.out,1999-12-31,1999,215.861,215.861,0,8,8,1396.821,126,194,247,4.016,752.158,284.82,1.993,1.816,1.644,1228.298,527.6,5,0.298,0.304,1.659,normal
1102,nash_CS_270.out,2000-12-31,2000,44.848,0,44.848,0,0,1410.441,126,189,272,3.489,712.639,202.239,1,1.852,1,1690.334,2326.7,14.8,0.317,0.285,1.659,normal
1102,nash_CS_270.out,2001-12-31,2001,238.414,238.414,0,8,8,1474.799,127,195,247,4.83,737.988,340.402,1.864,1.953,1.72,2034.675,326.9,3.9,0.286,0.281,1.659,normal
1102,nash_CS_270.out,2002-12-31,2002,7.549,0,7.549,0,0,1500.138,127,185,257,0.358,710.119,32.103,1,1.952,1,1485.994,2699.5,18.5,0.281,0.31,1.659,normal
1102,nash_CS_270.out,2003-12-31,2003,238.634,238.634,0,8,0,1515.005,128,199,253,4.208,797.833,353.766,1.851,1.949,1.753,2094.67,133.6,1.1,0.267,0.244,1.659,normal
1102,nash_CS_270.out,2004-12-31,2004,43.176,0,43.176,0,0,1314.978,128,190,0,3.42,572.503,168.462,1,1.998,1,1229.707,3267,22.3,0.291,0.308,1.659,normal
1102,nash_CS_270.out,2005-12-31,2005,247.486,247.486,0,8.7,8.7,1321.772,128,198,254,4.2,805.574,336.225,1.994,1.883,1.814,1667.735,389,4.9,0.304,0.294,1.659,normal
1102,nash_CS_270.out,2006-12-31,2006,59.512,0,59.512,0,0,1538.993,128,188,0,5.821,657.68,267.408,0.999,1.846,1,1761.645,2666,22.1,0.308,0.307,1.659,normal
1102,nash_CS_270.out,2007-12-31,2007,240.786,240.786,0,8.7,8.7,1521.492,130,198,254,5.093,777.603,336.254,1.988,1.899,1.864,1664.348,472,6.6,0.307,0.289,1.659,normal
1102,nash_CS_270.out,2008-12-31,2008,47.949,0,47.949,0,0,1266.237,130,192,0,3.98,593.99,201.3,1,1.82,1,1259.718,3195.8,26.9,0.311,0.335,1.659,normal
1102,nash_CS_270.out,2009-12-31,2009,237.768,237.768,0,8.7,0,1474.479,116,194,258,4.566,751.981,328.784,1.995,1.886,1.767,1736.231,379.4,5.5,0.32,0.261,1.659,normal
1102,nash_CS_270.out,2010-12-31,2010,52.225,0,52.225,0,0,1179.815,116,183,252,4.357,598.487,233.17,1,1.814,1,1115.786,4750.8,41,0.305,0.3,1.659,normal
1102,nash_CS_270.out,2011-12-31,2011,228.642,228.642,0,8.7,8.7,1459.909,131,201,255,4.419,743.552,309.347,1.994,1.914,1.813,1763.147,679.5,6.8,0.297,0.31,1.659,normal
1102,nash_CS_270.out,2012-12-31,2012,54.279,0,54.279,0,0,1538.5,131,190,0,6.032,813.579,340.464,0.757,1.985,1,2187.088,1141.2,9.9,0.284,0.296,1.659,normal
1102,nash_CS_270.out,2013-12-31,2013,204.401,204.401,0,8.7,8.7,1444.949,139,207,270,4.919,794.822,390.719,1.814,1.914,1.823,1862.005,472.2,6.1,0.226,0.312,1.659,normal
1102,nash_CS_270.out,2014-12-31,2014,45.278,0,45.278,0,0,1397.329,139,191,0,5.507,484.388,206.357,1,2,1,1260.067,4993.4,45.8,0.312,0.33,1.659,normal
1102,nash_CS_270.out,2015-12-31,2015,235.653,235.653,0,8.7,8.7,1340.17,125,199,257,4.113,779.677,322.397,1.994,1.887,1.836,1667.629,470,8.4,0.315,0.292,1.659,normal
1102,nash_CS_270.out,2016-12-31,2016,14.2,0,14.2,0,0,1115.743,125,182,256,0.876,753.964,58.78,1,1.952,1,1023.479,2541,21.8,0.31,0.292,1.659,normal
1102,nash_CS_270.out,2017-12-31,2017,144.134,144.134,0,8.7,8.7,1427.851,130,199,261,3.993,689.234,238.002,1.994,1.863,1.602,1426.622,140.5,1.4,0.3,0.293,1.659,normal
1102,nash_CS_270.out,2018-12-31,2018,0,0,0,8.7,8.7,895.761,128,192,248,0.85,484.841,43.387,1.994,1.742,1.407,862.443,3082.8,20.4,0.312,0.302,1.659,normal
1102,nash_CS_270.out,2019-12-31,2019,217.278,217.278,0,8.7,8.7,1506.765,136,202,263,4.053,681.775,282.32,1.994,1.888,1.793,1687.988,703.6,6.2,0.306,0.301,15.425,normal
1102,nash_SC_270.out,1997-12-31,1997,44.921,0,44.921,0,0,1508.206,?,191,276,3.646,739.508,177.865,1,1,1,1574.738,1202.7,10.7,0.286,0.276,0,normal
1102,nash_SC_270.out,1998-12-31,1998,208.214,208.214,0,8,8,1268.745,126.000,193,247,3.23,699.933,270.823,1.994,1.861,1.714,1631.323,412.2,5.9,0.297,0.295,0,normal
1102,nash_SC_270.out,1999-12-31,1999,57.247,0,57.247,0,0,1338.995,126.000,185,266,4.593,724.448,254.349,1,1.76,1,1133.011,2152.4,17.7,0.283,0.308,0,normal
1102,nash_SC_270.out,2000-12-31,2000,226.188,226.188,0,8,8,1513.862,126.000,196,254,3.904,739.172,309.709,1.99,1.936,1.761,2123.118,761.2,8.9,0.319,0.244,0,normal
1102,nash_SC_270.out,2001-12-31,2001,51.31,0,51.31,0,0,1545.944,126.000,188,270,4.178,628.248,231.355,1,1.956,1,1670.01,2894.8,22.6,0.281,0.302,0,normal
1102,nash_SC_270.out,2002-12-31,2002,250.23,250.23,0,8,8,1434.5,128.000,192,247,4.794,782.813,336.807,1.942,1.978,1.733,2212.517,418.3,5,0.291,0.285,0,normal
1102,nash_SC_270.out,2003-12-31,2003,60.459,0,60.459,0,0,1406.934,128.000,190,0,5.46,655.544,299.077,0.949,1.932,1,1673.437,2842.8,21.8,0.267,0.306,0,normal
1102,nash_SC_270.out,2004-12-31,2004,199.584,199.584,0,8,8,1226.374,129.000,200,263,3.311,684.612,245.159,1.994,1.854,1.721,1488.906,719.5,8.5,0.3,0.288,0,normal
1102,nash_SC_270.out,2005-12-31,2005,55.498,0,55.498,0,0,1318.527,129.000,187,261,4.389,680.44,252.675,1,1.93,1,1238.646,2705.9,17.7,0.303,0.308,0,normal
1102,nash_SC_270.out,2006-12-31,2006,194.85,194.85,0,8.7,8.7,1542.138,127.000,199,256,4.999,748.511,321.383,1.929,1.949,1.838,2023.425,556.4,6.3,0.311,0.292,0,normal
1102,nash_SC_270.out,2007-12-31,2007,63.014,0,63.014,0,0,1486.287,127.000,184,0,6.258,653.628,280.271,1,1.968,1,1248.719,3474.6,33.5,0.308,0.315,0,normal
1102,nash_SC_270.out,2008-12-31,2008,239.804,239.804,0,8.7,8.7,1329.882,137.000,207,271,4.175,748.886,300.594,1.994,1.883,1.886,1604.674,394.2,4,0.313,0.325,0,normal
1102,nash_SC_270.out,2009-12-31,2009,50.166,0,50.166,0,0,1470.097,137.000,190,0,4.553,621.351,189.612,1,1.924,1,1374.899,2689.5,22.9,0.321,0.281,0,normal
1102,nash_SC_270.out,2010-12-31,2010,226.866,226.866,0,8.9,8.9,1296.922,117.000,192,243,4.117,778.812,347.149,1.993,1.875,1.858,1619.441,528.1,8.8,0.312,0.285,0,normal
1102,nash_SC_270.out,2011-12-31,2011,42.014,0,42.014,0,0,1445.102,117.000,203,0,4.54,627.941,200.863,1,1.961,1,1562.32,2681.5,23.1,0.289,0.303,0,normal
1102,nash_SC_270.out,2012-12-31,2012,235.458,235.458,0,8.7,8.7,1513.571,125.000,192,244,5.018,882.924,405.123,1.657,1.982,1.864,2117.24,237.6,4.8,0.288,0.276,0,normal
1102,nash_SC_270.out,2013-12-31,2013,57.163,0,57.163,0,0,1537.385,125.000,192,0,5.525,663.539,284.853,0.992,2,1,1636.241,2213.6,22.3,0.248,0.324,0,normal
1102,nash_SC_270.out,2014-12-31,2014,197.953,197.953,0,8.7,8.7,1347.867,136.000,206,272,3.561,662.249,267.047,1.994,1.874,1.877,1544.472,631.6,8.2,0.313,0.317,0,normal
1102,nash_SC_270.out,2015-12-31,2015,48.99,0,48.99,0,0,1330.995,136.000,185,0,4.058,715.341,228.147,1,1.818,1,1299.612,2782.4,24,0.31,0.311,0,normal
1102,nash_SC_270.out,2016-12-31,2016,168.903,168.903,0,8.7,8.7,1204.669,116.000,192,245,3.583,710.281,259.413,1.994,1.771,1.75,1132.855,299.9,4.1,0.312,0.286,0,normal
1102,nash_SC_270.out,2017-12-31,2017,0,0,0,8.7,8.7,1193.223,130.000,199,261,1.663,486.478,83.541,1.994,1.799,1.44,1142.606,2726.5,21.8,0.298,0.304,0,normal
1102,nash_SC_270.out,2018-12-31,2018,33.801,33.801,0,8.7,8.7,1025.775,128.000,192,248,1.622,528.32,93.03,1.994,1.752,1.451,905.294,1748.8,14.6,0.312,0.296,10.457,normal
1102,nash_SC_270.out,2019-12-31,2019,60.494,0,60.494,0,0,1531.201,128.000,190,268,5.664,677.564,267.24,1,1.773,1,1670.444,1209.9,10,0.305,0.308,0,normal
